Start	 End 	 Ontology	   Term				 ArtclTerm
52       58      GO:0007613        memory                        "Memory"
93       107     GO:0032281        AMPA glutamate receptor complex       "AMPA Receptors"
277      298     GO:0007611        learning or memory            "learning, and memory."
367      386     GO:0042048        olfactory behavior            "olfactory behavior."
669      677     GO:0007612        learning                      "learning"
692      712     GO:0035106        operant conditioning          "operant conditioning"
729      736     GO:0007613        memory                        "memory,"
904      910     GO:0007613        memory                        "memory"
951      957     GO:0007613        memory                        "memory"
1193     1201    GO:0007610        behavior                      "behavior"
1282     1301    GO:0008355        olfactory learning            "olfactory learning,"
1322     1328    GO:0007613        memory                        "memory"
1360     1374    GO:0007608        sensory perception of smell   "sense of smell"
1482     1488    GO:0007613        memory                        "memory"
1692     1701    GO:0009058        biosynthetic process          "formation"
1706     1713    GO:0051235        maintenance of location       "storage"
1727     1733    GO:0007613        memory                        "memory"
1950     1956    GO:0007613        memory                        "memory"
2142     2148    GO:0007613        memory                        "memory"
2788     2792    GO:0043336        site-specific telomere resolvase activity     "rest"
2855     2863    GO:0007129        synapsis                      "synapses"
2855     2863    GO:0045202        synapse                       "synapses"
3002     3011    GO:0007129        synapsis                      "synapses,"
3002     3011    GO:0045202        synapse                       "synapses,"
3399     3406    GO:0007613        memory                        "memory,"
3429     3433    GO:0033867        Fas-activated serine/threonine kinase activity        "fast"
3445     3462    GO:0007268        synaptic transmission         "neurotransmission"
3944     3953    GO:0009058        biosynthetic process          "formation"
4317     4328    GO:0009451        RNA modification              "RNA editing"
4889     4910    GO:0007268        synaptic transmission         "synaptic transmission"
5508     5517    GO:0007610        behavior                      "behavior,"
191      210     GO:0042048        olfactory behavior            "olfactory behavior."
254      273     GO:0008355        olfactory learning            "olfactory learning,"
294      301     GO:0007613        memory                        "memory,"
891      898     GO:0007613        memory                        "memory."
1235     1244    GO:0007612        learning                      "learning,"
1265     1272    GO:0007613        memory                        "memory."
1329     1347    GO:0008355        olfactory learning            "Olfactory Learning"
1390     1394    GO:0033867        Fas-activated serine/threonine kinase activity        "fast"
1406     1423    GO:0007268        synaptic transmission         "neurotransmission"
1872     1880    GO:0045292        mRNA cis splicing, via spliceosome    "splicing"
3367     3375    GO:0007612        learning                      "learning"
3546     3554    GO:0007612        learning                      "learning"
4672     4680    GO:0007612        learning                      "learning"
4815     4833    GO:0008355        olfactory learning            "olfactory learning"
987      997     GO:0007608        sensory perception of smell   "olfaction,"
1098     1110    GO:0046959        habituation                   "habituation,"
2742     2760    GO:0008355        olfactory learning            "olfactory learning"
2842     2851    GO:0007608        sensory perception of smell   "olfaction"
2952     2968    GO:0008542        visual learning               "spatial learning"
3251     3265    GO:0007608        sensory perception of smell   "sense of smell"
3757     3775    GO:0008355        olfactory learning            "olfactory learning"
3806     3812    GO:0007613        memory                        "Memory"
3945     3964    GO:0042048        olfactory behavior            "olfactory behavior,"
4032     4039    GO:0007613        memory                        "memory."
4059     4065    GO:0007613        memory                        "memory"
4475     4482    GO:0007613        memory                        "(memory"
4565     4571    GO:0007613        memory                        "memory"
4637     4645    GO:0007612        learning                      "learning"
4718     4724    GO:0007613        memory                        "memory"
4878     4884    GO:0007613        memory                        "memory"
4974     4980    GO:0007613        memory                        "memory"
5328     5334    GO:0007613        memory                        "memory"
5366     5375    GO:0007608        sensory perception of smell   "olfaction"
5549     5555    GO:0007613        memory                        "memory"
5717     5723    GO:0007613        memory                        "memory"
314      320     GO:0007613        memory                        "memory"
488      494     GO:0007613        memory                        "memory"
592      598     GO:0007613        memory                        "Memory"
631      638     GO:0003675        obsolete protein              "Protein"
733      739     GO:0007613        memory                        "memory"
869      876     GO:0003675        obsolete protein              "protein"
900      906     GO:0007613        memory                        "memory"
965      971     GO:0007613        memory                        "memory"
981      988     GO:0007613        memory                        "(memory"
1036     1043    GO:0003675        obsolete protein              "protein"
1178     1184    GO:0007613        memory                        "memory"
1353     1360    GO:0003675        obsolete protein              "protein"
1375     1382    GO:0007613        memory                        "memory,"
1387     1393    GO:0007613        memory                        "memory"
1589     1595    GO:0007613        memory                        "memory"
1664     1671    GO:0003675        obsolete protein              "protein"
1767     1774    GO:0003675        obsolete protein              "protein"
1981     1989    GO:0007612        learning                      "learning"
2051     2058    GO:0003675        obsolete protein              "protein"
2118     2124    GO:0007613        memory                        "memory"
2136     2143    GO:0003675        obsolete protein              "protein"
2672     2679    GO:0007613        memory                        "memory,"
2792     2800    GO:0007612        learning                      "learning"
3015     3023    GO:0007612        learning                      "learning"
3213     3220    GO:0007613        memory                        "memory,"
3321     3327    GO:0007613        memory                        "Memory"
3607     3614    GO:0007613        memory                        "memory."
3629     3645    GO:0007613PHENOTYPE  memory phenotype                   "memory phenotype"
4017     4024    GO:0003675        obsolete protein              "protein"
4277     4283    GO:0007613        memory                        "memory"
4578     4593    GO:0006351        transcription, DNA-templated          "transcriptional"
5149     5154    GO:0005623        cell                          "cells"
5315     5321    GO:0007613        memory                        "memory"
0        9       GO:0007613        memory                        "). Memory"
202      208     GO:0007613        memory                        "memory"
344      350     GO:0007613        memory                        "memory"
440      446     GO:0007613        memory                        "memory"
466      472     GO:0007613        memory                        "memory"
703      709     GO:0007613        memory                        "memory"
1012     1018    GO:0007613        memory                        "memory"
1133     1139    GO:0007613        memory                        "memory"
1196     1203    GO:0003675        obsolete protein              "protein"
1250     1257    GO:0003675        obsolete protein              "protein"
1284     1291    GO:0007613        memory                        "memory,"
1335     1341    GO:0007613        memory                        "memory"
1388     1394    GO:0007613        memory                        "memory"
1537     1543    GO:0007613        memory                        "memory"
1564     1571    GO:0003675        obsolete protein              "protein"
1723     1729    GO:0007613        memory                        "memory"
