Start	 End 	 Ontology	   Term				 ArtclTerm
57       65      GO:0003675        obsolete protein              "protein,"
309      318     GO:0003675        obsolete protein              "proteins,"
350      358     GO:0003675        obsolete protein              "proteins"
642      651     GO:0003675        obsolete protein              "protein)."
764      789     GO:0008594        photoreceptor cell morphogenesis      "photoreceptor development"
1003     1027    GO:0016568        chromatin modification        "chromatin modifications."
1116     1131    GO:0010467        gene expression               "gene expression"
1135     1161    GO:0008594        photoreceptor cell morphogenesis      "photoreceptor development."
1274     1299    GO:0048468        cell development              "terminal differentiation,"
1331     1344    GO:0006351        transcription, DNA-templated          "Transcription"
1463     1470    GO:0003675        obsolete protein              "protein"
1559     1566    GO:0003675        obsolete protein              "protein"
1591     1599    GO:0005634        nucleus                       "nucleus,"
1638     1644    GO:0005623        cell                          "cells."
1756     1771    GO:0006351        transcription, DNA-templated          "transcriptional"
2143     2158    GO:0006351        transcription, DNA-templated          "transcriptional"
2251     2262    GO:0032502        developmental process         "development"
2307     2311    GO:0005623        cell                          "cell"
2396     2400    GO:0005623        cell                          "cell"
2451     2456    GO:0005623        cell                          "cells"
2643     2650    GO:0007601        visual perception             "vision."
2651     2669    GO:0007602        phototransduction             "Phototransduction,"
2682     2688    GO:0023052        signaling                     "signal"
2812     2817    GO:0005488        binding                       "bound"
2825     2830    GO:0007602        phototransduction             "opsin"
2825     2830    GO:0015053        obsolete opsin                "opsin"
2825     2830    GO:0016918        retinal binding               "opsin"
2825     2830    GO:0009881        photoreceptor activity        "opsin"
2825     2830    GO:0046876        3,4-didehydroretinal binding          "opsin"
2831     2840    GO:0003675        obsolete protein              "proteins:"
2868     2874    GO:0007602        phototransduction             "opsins"
2868     2874    GO:0015053        obsolete opsin                "opsins"
2868     2874    GO:0016918        retinal binding               "opsins"
2868     2874    GO:0009881        photoreceptor activity        "opsins"
2868     2874    GO:0046876        3,4-didehydroretinal binding          "opsins"
2889     2897    GO:0003675        obsolete protein              "proteins"
2913     2930    GO:0007602        phototransduction             "phototransduction"
3201     3205    GO:0005623        cell                          "cell"
3219     3230    GO:0032502        developmental process         "development"
3359     3365    GO:0005623        cell                          "cells,"
3455     3460    GO:0005623        cell                          "cells"
3511     3515    GO:0005623        cell                          "cell"
3618     3623    GO:0005623        cell                          "cells"
3640     3653    GO:0006351        transcription, DNA-templated          "transcription"
3657     3680    GO:0016568        chromatin modification        "chromatin modification."
3750     3775    GO:0008594        photoreceptor cell morphogenesis      "photoreceptor development"
3858     3881    GO:0001709        cell fate determination       "cell fate determination"
3886     3910    GO:0048468        cell development              "terminal differentiation"
4098     4111    GO:0006351        transcription, DNA-templated          "transcription"
4182     4191    GO:0009058        biosynthetic process          "formation"
4235     4252    GO:0007602        phototransduction             "phototransduction"
4413     4426    GO:0006351        transcription, DNA-templated          "transcription"
4663     4691    GO:0001750        photoreceptor outer segment   "photoreceptor outer segments"
4885     4894    GO:0030849        autosome                      "autosomal"
5014     5040    GO:0008594        photoreceptor cell morphogenesis      "photoreceptor development,"
5360     5369    GO:0003675        obsolete protein              "proteins,"
5401     5409    GO:0003675        obsolete protein              "proteins"
5498     5514    GO:0008181        obsolete tumor suppressor     "tumor suppressor"
5498     5514    GO:0051726        regulation of cell cycle      "tumor suppressor"
5688     5696    GO:0003675        obsolete protein              "proteins"
5701     5716    GO:0006351        transcription, DNA-templated          "transcriptional"
5742     5756    GO:0016458        gene silencing                "gene silencing"
5764     5775    GO:0032502        developmental process         "development"
5801     5809    GO:0003675        obsolete protein              "proteins"
5842     5853    GO:0065007        biological regulation         "regulation."
5939     5963    GO:0016568        chromatin modification        "chromatin modifications."
5976     6005    GO:0035102        PRC1 complex                  "polycomb repressive complex 1"
6063     6075    GO:0035102        PRC1 complex                  "PRC1 complex"
6192     6201    GO:0009058        biosynthetic process          "formation"
6220     6229    GO:0000785        chromatin                     "chromatin"
165      190     GO:0048468        cell development              "terminal differentiation,"
303      310     GO:0005634        nucleus                       "nucleus"
456      471     GO:0006351        transcription, DNA-templated          "transcriptional"
543      576     GO:0017053        transcriptional repressor complex     "transcriptional repressor complex"
588      614     GO:0008594        photoreceptor cell morphogenesis      "photoreceptor development."
1002     1009    GO:0003675        obsolete protein              "protein"
1066     1074    GO:0003675        obsolete protein              "protein."
1333     1340    GO:0003675        obsolete protein              "protein"
1375     1384    GO:0003675        obsolete protein              "protein)."
1408     1430    GO:0006413        translational initiation      "translation initiation"
1692     1699    GO:0003675        obsolete protein              "protein"
1780     1787    GO:0003675        obsolete protein              "protein"
2037     2044    GO:0003675        obsolete protein              "protein"
2236     2243    GO:0003675        obsolete protein              "protein"
2342     2350    GO:0003675        obsolete protein              "protein."
2367     2380    GO:0051179        localization                  "localizations"
2513     2519    GO:0004239        obsolete methionyl aminopeptidase activity    "mapped"
