Start	 End 	 Ontology	   Term				 ArtclTerm
0        11      GO:0003677        DNA binding                   "DNA binding"
130      146     GO:0006260        DNA replication               "DNA replication."
188      205     GO:0016887        ATPase activity               "ATPase activities"
223      239     GO:0097373        MCM core complex              "Mcm4/6/7 complex"
837      842     GO:0005488        binding                       "binds"
1090     1109    GO:0000732        strand displacement           "Strand displacement"
1692     1711    GO:0000166        nucleotide binding            "nucleotide binding,"
1712     1723    GO:0003677        DNA binding                   "DNA binding"
1728     1742    GO:0006200        obsolete ATP catabolic process        "ATP hydrolysis"
2178     2186    GO:0003675        obsolete protein              "proteins"
2216     2224    GO:0003675        obsolete protein              "proteins"
2360     2368    GO:0003675        obsolete protein              "proteins"
2392     2408    GO:0097373        MCM core complex              "Mcm4/6/7 complex"
2448     2469    GO:0003678        DNA helicase activity         "DNA helicase activity"
2511     2519    GO:0003675        obsolete protein              "proteins"
2554     2571    GO:0004386        helicase activity             "helicase activity"
2608     2625    GO:0004386        helicase activity             "helicase activity"
2633     2649    GO:0097373        MCM core complex              "Mcm4/6/7 complex"
2754     2763    GO:0000785        chromatin                     "Chromatin"
3078     3096    GO:0097373        MCM core complex              "Mcm4/6/7 complexes"
3211     3216    GO:0005488        binding                       "binds"
3400     3414    GO:0006200        obsolete ATP catabolic process        "ATP hydrolysis"
3788     3805    GO:0005657        replication fork              "replication forks"
3874     3885    GO:0003677        DNA binding                   "DNA binding"
4255     4260    GO:0005488        binding                       "binds"
4675     4684    GO:0003887        DNA-directed DNA polymerase activity          "Sequenase"
4801     4808    GO:0004530        deoxyribonuclease I activity          "DNase I"
4817     4832    GO:0003887        DNA-directed DNA polymerase activity          "Klenow fragment"
4952     4966    GO:0016887        ATPase activity               "SV40 T-antigen"
5013     5018    GO:0005623        cell                          "cells"
5051     5058    GO:0003675        obsolete protein              "protein"
5335     5351    GO:0097373        MCM core complex              "Mcm4/6/7 complex"
5421     5429    GO:0003675        obsolete protein              "proteins"
5487     5492    GO:0005623        cell                          "cells"
5645     5654    GO:0003675        obsolete protein              "proteins,"
5665     5670    GO:0005623        cell                          "cells"
5748     5756    GO:0003675        obsolete protein              "proteins"
5852     5870    GO:0097373        MCM core complex              "Mcm4/6/7 complexes"
941      950     GO:0003887        DNA-directed DNA polymerase activity          "Sequenase"
1203     1219    GO:0097373        MCM core complex              "Mcm4/6/7 complex"
1356     1366    GO:0004196        obsolete saccharopepsin activity      "proteinase"
