Start	 End 	 Ontology	   Term				 ArtclTerm'
42       52      GO:0007599        hemostasis                    "hemostasis"
484      495     GO:0007599        hemostasis                    "hemostasis."
555      565     GO:0007599        hemostasis                    "hemostasis"
639      650     GO:0005694        chromosome                    "chromosomes"
758      769     GO:0007599        hemostasis                    "hemostasis."
994      1005    GO:0007599        hemostasis                    "hemostasis,"
1085     1095    GO:0005694        chromosome                    "chromosome"
1122     1133    GO:0005694        chromosome                    "chromosomes"
1450     1461    GO:0050817        coagulation                   "Coagulation"
1511     1519    GO:0005202        obsolete collagen             "collagen"
1572     1582    GO:0005694        chromosome                    "chromosome"
1749     1760    GO:0005694        chromosome                    "chromosomes"
1835     1845    GO:0005694        chromosome                    "chromosome"
2059     2070    GO:0007599        hemostasis                    "haemostasis"
2128     2138    GO:0005694        chromosome                    "chromosome"
2802     2811    GO:0009058        biosynthetic process          "formation"
3194     3205    GO:0050817        coagulation                   "coagulation"
3848     3857    GO:0009058        biosynthetic process          "formation"
3862     3867    GO:0019835        cytolysis                     "lysis"
4546     4550    GO:0050817        coagulation                   "Clot"
4551     4560    GO:0009058        biosynthetic process          "formation"
4565     4571    GO:0019835        cytolysis                     "lysis,"
4620     4641    GO:0070527        platelet aggregation          "platelet aggregation,"
4642     4654    GO:0050817        coagulation                   "coagulation,"
4925     4936    GO:0005694        chromosome                    "chromosome,"
5221     5231    GO:0005694        chromosome                    "chromosome"
5497     5508    GO:0005694        chromosome                    "chromosome."
5532     5542    GO:0005694        chromosome                    "chromosome"
5688     5699    GO:0005694        chromosome                    "chromosome."
6028     6036    GO:0007610        behavior                      "behavior"
6391     6402    GO:0050817        coagulation                   "coagulation"
6407     6420    GO:0042730        fibrinolysis                  "fibrinolysis."
6554     6565    GO:0050817        coagulation                   "coagulation"
6569     6589    GO:0070527        platelet aggregation          "platelet aggregation"
301      312     GO:0007599        hemostasis                    "haemostasis"
1427     1435    GO:0003675        obsolete protein              "protein,"
1707     1716    GO:0009058        biosynthetic process          "formation"
