Start	 End 	 Ontology	   Term				 ArtclTerm
285      296     GO:0032502        developmental process         "development"
450      461     GO:0032502        developmental process         "development"
1225     1234    GO:0009058        biosynthetic process          "synthesis"
1311     1320    GO:0009058        biosynthetic process          "formation"
1473     1482    GO:0009058        biosynthetic process          "synthesis"
1528     1537    GO:0009058        biosynthetic process          "formation"
3260     3268    GO:0003823        antigen binding               "antibody"
3260     3268    GO:0019815        B cell receptor complex       "antibody"
3260     3268    GO:0042571        immunoglobulin complex, circulating   "antibody"
3331     3341    GO:0003823        antigen binding               "antibodies"
3331     3341    GO:0019815        B cell receptor complex       "antibodies"
3331     3341    GO:0042571        immunoglobulin complex, circulating   "antibodies"
3618     3625    GO:0003675        obsolete protein              "protein"
4162     4173    GO:0032502        developmental process         "development"
4614     4626    GO:0032502        developmental process         "development."
522      531     GO:0007586        digestion                     "digestion"
1809     1819    GO:0045120        pronucleus                    "Pronuclear"
1977     1986    GO:0007586        digestion                     "digestion"
2040     2050    GO:0045120        pronucleus                    "pronucleus"
2095     2103    GO:0007618        mating                        "matings."
2095     2103    GO:1990277        parasexual conjugation with cellular fusion   "matings."
2095     2103    GO:0000747        conjugation with cellular fusion      "matings."
2095     2103    GO:0009291        unidirectional conjugation    "matings."
3312     3321    GO:0009056        catabolic process             "breakdown"
4883     4887    GO:0031672        A band                        "band"
5143     5147    GO:0005623        cell                          "cell"
5868     5876    GO:0003675        obsolete protein              "Proteins"
6181     6192    GO:0003823        antigen binding               "antibodies:"
6181     6192    GO:0019815        B cell receptor complex       "antibodies:"
6181     6192    GO:0042571        immunoglobulin complex, circulating   "antibodies:"
6717     6725    GO:0003823        antigen binding               "antibody"
6717     6725    GO:0019815        B cell receptor complex       "antibody"
6717     6725    GO:0042571        immunoglobulin complex, circulating   "antibody"
89       95      GO:0023052        signaling                     "signal"
115      119     GO:0031672        A band                        "band"
131      137     GO:0023052        signaling                     "signal"
2938     2948    GO:0031386        protein tag                   "Ubiquitin,"
2949     2981    GO:0045098        type III intermediate filament        "glial fibrillary acidic protein,"
2949     2981    GO:0045101        obsolete glial fibrillary acidic protein      "glial fibrillary acidic protein,"
3180     3199    GO:0004601        peroxidase activity           "peroxidase activity"
3410     3415    GO:0004617        phosphoglycerate dehydrogenase activity       "serum"
3483     3491    GO:0003823        antigen binding               "antibody"
3483     3491    GO:0019815        B cell receptor complex       "antibody"
3483     3491    GO:0042571        immunoglobulin complex, circulating   "antibody"
3527     3536    GO:0003823        antigen binding               "antibody,"
3527     3536    GO:0019815        B cell receptor complex       "antibody,"
3527     3536    GO:0042571        immunoglobulin complex, circulating   "antibody,"
3649     3659    GO:0043205        fibril                        "fibrillary"
3667     3674    GO:0003675        obsolete protein              "protein"
3675     3681    GO:0045101        obsolete glial fibrillary acidic protein      "(GFAP)"
3693     3704    GO:0003823        antigen binding               "antibodies,"
3693     3704    GO:0019815        B cell receptor complex       "antibodies,"
3693     3704    GO:0042571        immunoglobulin complex, circulating   "antibodies,"
3792     3797    GO:0004617        phosphoglycerate dehydrogenase activity       "serum"
3880     3888    GO:0003823        antigen binding               "antibody"
3880     3888    GO:0019815        B cell receptor complex       "antibody"
3880     3888    GO:0042571        immunoglobulin complex, circulating   "antibody"
4250     4258    GO:0003823        antigen binding               "Antibody"
4250     4258    GO:0019815        B cell receptor complex       "Antibody"
4250     4258    GO:0042571        immunoglobulin complex, circulating   "Antibody"
4259     4266    GO:0005488        binding                       "binding"
