Start	 End 	 Ontology	   Term				 ArtclTerm
0        8       GO:0016020        membrane                      "Membrane"
98       102     GO:0005623        cell                          "cell"
658      664     GO:0005623        cell                          "cells,"
889      895     GO:0005623        cell                          "cells."
984      988     GO:0007568        aging                         "aged"
1089     1096    GO:0040007        growth                        "growth;"
1109     1118    GO:0006810        transport                     "transport"
1156     1171    GO:0003824        catalytic activity            "enzyme activity"
1252     1263    GO:0006897        endocytosis                   "endocytosis"
1289     1301    GO:0005739        mitochondrion                 "mitochondria"
1479     1501    GO:0031090        organelle membrane            "intracellular membrane"
1913     1918    GO:0016265        death                         "death"
1965     1977    GO:0005694        chromosome                    "chromosomes)"
2135     2142    GO:0003675        obsolete protein              "protein"
2243     2256    GO:0044754        autolysosome                  "autolysosomes"
2309     2321    GO:0016467        obsolete hydrogen-translocating F-type ATPase activity        "ATP synthase"
2309     2321    GO:0016468        obsolete sodium-translocating F-type ATPase activity          "ATP synthase"
2436     2441    GO:0005623        cell                          "cells"
2654     2661    GO:0003675        obsolete protein              "protein"
2802     2810    GO:0005764        lysosome                      "lysosome"
2821     2830    GO:0031982        vesicle                       "vesicular"
2987     2998    GO:0042592        homeostatic process           "homeostasis"
3003     3023    GO:0006865        amino acid transport          "amino acid transport"
3049     3061    GO:0009405        pathogenesis                  "pathogenesis"
3288     3298    GO:0003823        antigen binding               "antibodies"
3288     3298    GO:0019815        B cell receptor complex       "antibodies"
3288     3298    GO:0042571        immunoglobulin complex, circulating   "antibodies"
3462     3466    GO:0005623        cell                          "cell"
3743     3747    GO:0005623        cell                          "cell"
3812     3833    GO:0008150        biological_process            "biological processes."
3961     3966    GO:0005623        cell                          "cells"
4030     4038    GO:0016020        membrane                      "membrane"
4039     4049    GO:0043226        organelle                     "organelles"
4059     4067    GO:0016020        membrane                      "membrane"
4152     4158    GO:0005623        cell                          "cells."
4219     4223    GO:0005623        cell                          "cell"
4281     4285    GO:0005623        cell                          "cell"
4471     4475    GO:0005623        cell                          "cell"
4636     4642    GO:0040007        growth                        "Growth"
4817     4821    GO:0005623        cell                          "cell"
5030     5043    GO:0051301        cell division                 "cell division"
5056     5061    GO:0005623        cell                          "cells"
5460     5465    GO:0005623        cell                          "cells"
5496     5501    GO:0005623        cell                          "cells"
5536     5546    GO:0003823        antigen binding               "antibodies"
5536     5546    GO:0019815        B cell receptor complex       "antibodies"
5536     5546    GO:0042571        immunoglobulin complex, circulating   "antibodies"
5616     5620    GO:0045101        obsolete glial fibrillary acidic protein      "GFAP"
5758     5763    GO:0005623        cell                          "cells"
5810     5821    GO:0044297        cell body                     "cell bodies"
5912     5917    GO:0005623        cell                          "cells"
6016     6020    GO:0005623        cell                          "cell"
113      118     GO:0005623        cell                          "cells"
269      276     GO:0003675        obsolete protein              "protein"
305      313     GO:0003823        antigen binding               "antibody"
305      313     GO:0019815        B cell receptor complex       "antibody"
305      313     GO:0042571        immunoglobulin complex, circulating   "antibody"
403      409     GO:0005623        cell                          "cells,"
543      548     GO:0005623        cell                          "cells"
775      781     GO:0005623        cell                          "cells,"
810      832     GO:0031410        cytoplasmic vesicle           "cytoplasmic, vesicular"
876      882     GO:0005623        cell                          "cells."
