Start	 End 	 Ontology	   Term				 ArtclTerm'
6        26      GO:0051598        meiotic recombination checkpoint      "Pachytene Checkpoint"
65       72      GO:0051321        meiotic cell cycle            "Meiotic"
65       72      GO:0007126        meiotic nuclear division      "Meiotic"
95       103     GO:0007129        synapsis                      "Synapsis"
95       103     GO:0045202        synapse                       "Synapsis"
126      134     GO:0051321        meiotic cell cycle            "meiosis,"
126      134     GO:0007126        meiotic nuclear division      "meiosis,"
146      156     GO:0005694        chromosome                    "chromosome"
157      165     GO:0007129        synapsis                      "synapsis"
157      165     GO:0045202        synapse                       "synapsis"
349      369     GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
410      418     GO:0007129        synapsis                      "synapsis"
410      418     GO:0045202        synapse                       "synapsis"
516      523     GO:0051321        meiotic cell cycle            "meiosis"
516      523     GO:0007126        meiotic nuclear division      "meiosis"
582      587     GO:0016265        death                         "death"
639      650     GO:0005694        chromosome                    "chromosomes"
675      682     GO:0007129        synapsis                      "synapse"
675      682     GO:0045202        synapse                       "synapse"
786      797     GO:0005694        chromosome                    "chromosomes"
817      826     GO:0005712        chiasma                       "chiasmata"
923      932     GO:0051323        metaphase                     "metaphase"
949      961     GO:0005694        chromosome                    "chromosomes."
1025     1033    GO:0007129        synapsis                      "synapsis"
1025     1033    GO:0045202        synapse                       "synapsis"
1134     1141    GO:0051321        meiotic cell cycle            "meiotic"
1134     1141    GO:0007126        meiotic nuclear division      "meiotic"
1219     1234    GO:0042148        strand invasion               "strand invasion"
1438     1446    GO:0051321        meiotic cell cycle            "meiosis,"
1438     1446    GO:0007126        meiotic nuclear division      "meiosis,"
1528     1548    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
1606     1617    GO:0005694        chromosome                    "chromosomes"
1751     1759    GO:0051321        meiotic cell cycle            "meiosis,"
1751     1759    GO:0007126        meiotic nuclear division      "meiosis,"
1801     1811    GO:0005694        chromosome                    "chromosome"
1812     1819    GO:0007129        synapsis                      "synapse"
1812     1819    GO:0045202        synapse                       "synapse"
1953     1958    GO:0005623        cell                          "cells"
1979     1986    GO:0051321        meiotic cell cycle            "meiotic"
1979     1986    GO:0007126        meiotic nuclear division      "meiotic"
1987     2002    GO:0051301        cell division                 "cell divisions."
2017     2027    GO:0005694        chromosome                    "chromosome"
2028     2036    GO:0007610        behavior                      "behavior"
2090     2097    GO:0051321        meiotic cell cycle            "meiotic"
2090     2097    GO:0007126        meiotic nuclear division      "meiotic"
2135     2145    GO:0005694        chromosome                    "chromosome"
2146     2154    GO:0007129        synapsis                      "synapsis"
2146     2154    GO:0045202        synapse                       "synapsis"
2169     2198    GO:0000077        DNA damage checkpoint         "DNA damage. These checkpoints"
2215     2220    GO:0005623        cell                          "cells"
2386     2393    GO:0051321        meiotic cell cycle            "meiotic"
2386     2393    GO:0007126        meiotic nuclear division      "meiotic"
2555     2562    GO:0051321        meiotic cell cycle            "meiosis"
2555     2562    GO:0007126        meiotic nuclear division      "meiosis"
2620     2631    GO:0005694        chromosome                    "chromosomes"
2638     2646    GO:0007129        synapsis                      "synapsed"
2638     2646    GO:0045202        synapse                       "synapsed"
2697     2702    GO:0016265        death                         "death"
2814     2823    GO:0007129        synapsis                      "synapsis,"
2814     2823    GO:0045202        synapse                       "synapsis,"
3084     3094    GO:0005694        chromosome                    "chromosome"
3121     3128    GO:0051321        meiotic cell cycle            "meiotic"
3121     3128    GO:0007126        meiotic nuclear division      "meiotic"
3150     3161    GO:0005694        chromosome                    "chromosomes"
3173     3181    GO:0007129        synapsis                      "synapse,"
3173     3181    GO:0045202        synapse                       "synapse,"
3370     3378    GO:0007129        synapsis                      "synapsis"
3370     3378    GO:0045202        synapse                       "synapsis"
3582     3597    GO:0006260        DNA replication               "DNA replication"
3615     3638    GO:0000725        recombinational repair        "recombinational repair,"
3750     3760    GO:0005694        chromosome                    "chromosome"
3787     3797    GO:0005694        chromosome                    "chromosome"
3942     3949    GO:0051321        meiotic cell cycle            "meiotic"
3942     3949    GO:0007126        meiotic nuclear division      "meiotic"
3971     3976    GO:0005623        cell                          "cells"
4152     4162    GO:0005694        chromosome                    "chromosome"
4163     4171    GO:0007129        synapsis                      "synapsis"
4163     4171    GO:0045202        synapse                       "synapsis"
4180     4187    GO:0051321        meiotic cell cycle            "meiotic"
4180     4187    GO:0007126        meiotic nuclear division      "meiotic"
4202     4211    GO:0000239        pachytene                     "pachytene"
4221     4240    GO:0007128        meiotic prophase I            "meiotic prophase I."
4258     4265    GO:0051321        meiotic cell cycle            "meiotic"
4258     4265    GO:0007126        meiotic nuclear division      "meiotic"
4296     4316    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
4405     4425    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
4487     4496    GO:0003675        obsolete protein              "proteins,"
4549     4558    GO:0023052        signaling                     "signaling"
4562     4569    GO:0007067        mitotic nuclear division      "mitotic"
4570     4575    GO:0005623        cell                          "cells"
4631     4651    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
4708     4728    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
4764     4782    GO:0005711        obsolete meiotic chromosome   "meiotic chromosome"
4764     4782    GO:0000794        condensed nuclear chromosome          "meiotic chromosome"
4783     4793    GO:0008152        metabolic process             "metabolism"
4850     4860    GO:0005694        chromosome                    "chromosome"
4861     4869    GO:0007129        synapsis                      "synapsis"
4861     4869    GO:0045202        synapse                       "synapsis"
5101     5109    GO:0007129        synapsis                      "synapsis"
5101     5109    GO:0045202        synapse                       "synapsis"
5187     5195    GO:0007129        synapsis                      "synapsis"
5187     5195    GO:0045202        synapse                       "synapsis"
5347     5367    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
5396     5403    GO:0051321        meiotic cell cycle            "meiotic"
5396     5403    GO:0007126        meiotic nuclear division      "meiotic"
5518     5538    GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint"
5770     5779    GO:0000239        pachytene                     "pachytene"
5878     5887    GO:0000239        pachytene                     "pachytene"
5888     5896    GO:0007129        synapsis                      "synapsis"
5888     5896    GO:0045202        synapse                       "synapsis"
6018     6026    GO:0051321        meiotic cell cycle            "meiosis,"
6018     6026    GO:0007126        meiotic nuclear division      "meiosis,"
6045     6053    GO:0051321        meiotic cell cycle            "meiosis,"
6045     6053    GO:0007126        meiotic nuclear division      "meiosis,"
6131     6151    GO:0000795        synaptonemal complex          "synaptonemal complex"
122      143     GO:0051598        meiotic recombination checkpoint      "pachytene checkpoint."
251      258     GO:0003675        obsolete protein              "protein"
291      298     GO:0051321        meiotic cell cycle            "meiotic"
291      298     GO:0007126        meiotic nuclear division      "meiotic"
509      516     GO:0003675        obsolete protein              "protein"
702      709     GO:0003675        obsolete protein              "protein"
1361     1368    GO:0003675        obsolete protein              "protein"
2354     2361    GO:0003675        obsolete protein              "protein"
2379     2388    GO:0003823        antigen binding               "antibody."
2379     2388    GO:0019815        B cell receptor complex       "antibody."
2379     2388    GO:0042571        immunoglobulin complex, circulating   "antibody."
2487     2494    GO:0003675        obsolete protein              "protein"
2511     2523    GO:0051179        localization                  "Localization"
2750     2756    GO:0005634        nucleus                       "nuclei"
2787     2796    GO:0000237        leptotene                     "leptotene"
2827     2836    GO:0000239        pachytene                     "pachytene"
2870     2879    GO:0000239        pachytene                     "pachytene"
3026     3030    GO:0005623        cell                          "cell"
3098     3105    GO:0097649        A axonemal microtubule        "tubules"
3136     3148    GO:0051179        localization                  "localization"
3298     3307    GO:0000237        leptotene                     "leptotene"
3315     3323    GO:0000238        zygotene                      "zygotene"
3335     3344    GO:0000239        pachytene                     "pachytene"
4609     4616    GO:0097649        A axonemal microtubule        "tubules"
4640     4655    GO:0007283        spermatogenesis               "spermatogenesis"
4661     4670    GO:0000239        pachytene                     "pachytene"
4700     4707    GO:0097649        A axonemal microtubule        "tubules"
4801     4809    GO:0097649        A axonemal microtubule        "tubules."
4815     4822    GO:0097649        A axonemal microtubule        "tubules"
4831     4840    GO:0000239        pachytene                     "pachytene"
4884     4895    GO:0032502        developmental process         "development"
5010     5017    GO:0045292        mRNA cis splicing, via spliceosome    "spliced"
5127     5133    GO:0045292        mRNA cis splicing, via spliceosome    "splice"
5186     5194    GO:0003823        antigen binding               "antibody"
5186     5194    GO:0019815        B cell receptor complex       "antibody"
5186     5194    GO:0042571        immunoglobulin complex, circulating   "antibody"
5499     5503    GO:0031672        A band                        "band"
5627     5634    GO:0003675        obsolete protein              "protein"
5943     5951    GO:0003823        antigen binding               "antibody"
5943     5951    GO:0019815        B cell receptor complex       "antibody"
5943     5951    GO:0042571        immunoglobulin complex, circulating   "antibody"
6008     6013    GO:0005623        cell                          "cells"
6062     6071    GO:0000237        leptotene                     "leptotene"
6200     6209    GO:0000239        pachytene                     "pachytene"
6296     6302    GO:0005634        nucleus                       "nuclei"
6377     6390    GO:0051179        localization                  "localization,"
6416     6435    GO:0005711        obsolete meiotic chromosome   "meiotic chromosomes"
6416     6435    GO:0000794        condensed nuclear chromosome          "meiotic chromosomes"
6482     6489    GO:0005634        nucleus                       "nuclei."
6579     6584    GO:0019013        viral nucleocapsid            "cores"
6600     6613    GO:0000800        lateral element               "axial element"
6614     6621    GO:0003675        obsolete protein              "protein"
6636     6643    GO:0051321        meiotic cell cycle            "meiotic"
6636     6643    GO:0007126        meiotic nuclear division      "meiotic"
6673     6679    GO:0023052        signaling                     "signal"
6712     6719    GO:0051321        meiotic cell cycle            "meiotic"
6712     6719    GO:0007126        meiotic nuclear division      "meiotic"
6720     6727    GO:0005634        nucleus                       "nuclei."
6747     6754    GO:0051321        meiotic cell cycle            "Meiotic"
6747     6754    GO:0007126        meiotic nuclear division      "Meiotic"
45       58      GO:0009793        embryo development ending in seed dormancy    "embryogenesis"
45       58      GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis"
45       58      GO:0009790        embryo development            "embryogenesis"
81       93      GO:0032502        developmental process         "development,"
301      317     GO:0051325        interphase                    "(resting) phase."
349      358     GO:0000239        pachytene                     "pachytene"
365      376     GO:0005694        chromosome                    "chromosomes"
1042     1051    GO:0000239        pachytene                     "pachytene"
1158     1164    GO:0097649        A axonemal microtubule        "tubule"
1236     1243    GO:0097649        A axonemal microtubule        "tubules"
1249     1258    GO:0097194        execution phase of apoptosis          "apoptotic"
1249     1258    GO:0006915        apoptotic process             "apoptotic"
1445     1451    GO:0097649        A axonemal microtubule        "tubule"
2323     2327    GO:0005623        cell                          "cell"
2509     2518    GO:0000785        chromatin                     "chromatin"
2650     2659    GO:0000239        pachytene                     "pachytene"
2702     2712    GO:0005694        chromosome                    "chromosome"
2883     2890    GO:0051321        meiotic cell cycle            "meiotic"
2883     2890    GO:0007126        meiotic nuclear division      "meiotic"
3008     3019    GO:0032502        developmental process         "development"
3073     3083    GO:0005694        chromosome                    "Chromosome"
3084     3092    GO:0007129        synapsis                      "Synapsis"
3084     3092    GO:0045202        synapse                       "Synapsis"
3183     3190    GO:0051321        meiotic cell cycle            "meiotic"
3183     3190    GO:0007126        meiotic nuclear division      "meiotic"
3250     3260    GO:0005694        chromosome                    "chromosome"
3335     3356    GO:0000802        transverse filament           "transverse filaments,"
3378     3398    GO:0000795        synaptonemal complex          "synaptonemal complex"
3405     3414    GO:0000239        pachytene                     "Pachytene"
3428     3434    GO:0005634        nucleus                       "nuclei"
3492     3497    GO:0019013        viral nucleocapsid            "cores"
3517     3525    GO:0007129        synapsis                      "synapsis"
3517     3525    GO:0045202        synapse                       "synapsis"
3529     3540    GO:0005694        chromosome                    "chromosomes"
3614     3623    GO:0030849        autosome                      "autosomes"
3661     3674    GO:0000806        Y chromosome                  "Y chromosomes"
3689     3697    GO:0007129        synapsis                      "synapsed"
3689     3697    GO:0045202        synapse                       "synapsed"
3833     3844    GO:0005694        chromosome                    "chromosomes"
3976     3991    GO:0007283        spermatogenesis               "spermatogenesis"
4251     4261    GO:0006281        DNA repair                    "DNA repair"
4342     4349    GO:0051321        meiotic cell cycle            "meiotic"
4342     4349    GO:0007126        meiotic nuclear division      "meiotic"
4415     4424    GO:0000239        pachytene                     "Pachytene"
4438     4449    GO:0005694        chromosome                    "Chromosomes"
