Start	 End 	 Ontology	   Term				 ArtclTerm
207      224     GO:0060173        limb development              "limb development."
581      598     GO:0060173        limb development              "limb development."
910      917     GO:0023052        signaling                     "signals"
998      1005    GO:0023052        signaling                     "signals"
1110     1119    GO:0023052        signaling                     "signaling"
1149     1164    GO:0051216        cartilage development         "chondrogenesis,"
1510     1523    GO:0001503        ossification                  "osteogenesis."
1655     1664    GO:0009058        biosynthetic process          "formation"
1788     1793    GO:0005623        cell                          "cells"
2001     2013    GO:0032502        developmental process         "development."
2214     2221    GO:0023052        signaling                     "signals"
2391     2397    GO:0023052        signaling                     "signal"
2616     2627    GO:0032502        developmental process         "development"
2749     2756    GO:0023052        signaling                     "signals"
3169     3192    GO:0032502        developmental process         "developmental processes"
3225     3238    GO:0009653        anatomical structure morphogenesis    "morphogenesis"
3342     3359    GO:0060173        limb development              "limb development,"
3450     3454    GO:0005623        cell                          "cell"
3566     3582    GO:0060173        limb development              "limb development"
3596     3605    GO:0023052        signaling                     "signaling"
3785     3794    GO:0023052        signaling                     "signaling"
4034     4042    GO:0023052        signaling                     "signals,"
4482     4489    GO:0023052        signaling                     "signals"
4542     4551    GO:0023052        signaling                     "signaling"
5543     5553    GO:0023052        signaling                     "signaling,"
5659     5665    GO:0023052        signaling                     "signal"
6187     6197    GO:0023052        signaling                     "signaling,"
109      118     GO:0023052        signaling                     "signaling"
692      698     GO:0023052        signaling                     "signal"
928      937     GO:0097194        execution phase of apoptosis          "apoptotic"
928      937     GO:0006915        apoptotic process             "apoptotic"
938      943     GO:0016265        death                         "death"
1046     1055    GO:0023052        signaling                     "signaling"
1283     1318    GO:0090269        fibroblast growth factor production   "fibroblast growth factor production"
1512     1536    GO:0005104        fibroblast growth factor receptor binding     "fibroblast growth factor"
1629     1638    GO:0023052        signaling                     "signaling"
1841     1851    GO:0023052        signaling                     "signaling,"
1927     1944    GO:0060173        limb development              "limb development,"
2091     2100    GO:0023052        signaling                     "signaling"
2162     2184    GO:0001502        cartilage condensation        "cartilage condensation"
2545     2554    GO:0023052        signaling                     "signaling"
2620     2635    GO:0051216        cartilage development         "chondrogenesis."
2715     2729    GO:0051216        cartilage development         "chondrogenesis"
2744     2759    GO:0051216        cartilage development         "chondrogenesis,"
2984     2999    GO:0001503        ossification                  "bone formation,"
3009     3019    GO:0008152        metabolic process             "metabolism"
3060     3067    GO:0005488        binding                       "ligands"
3255     3264    GO:0023052        signaling                     "signaling"
3438     3455    GO:0060173        limb development              "limb development."
3509     3522    GO:0009793        embryo development ending in seed dormancy    "embryogenesis"
3509     3522    GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis"
3509     3522    GO:0009790        embryo development            "embryogenesis"
3627     3643    GO:0060173        limb development              "limb development"
3954     3961    GO:0023052        signaling                     "signals"
4385     4400    GO:0051216        cartilage development         "chondrogenesis."
4401     4413    GO:0001503        ossification                  "Osteogenesis"
