Start	 End 	 Ontology	   Term				 ArtclTerm
67       75      GO:0007612        learning                      "learning"
144      153     GO:0023052        signaling                     "signaling"
327      333     GO:0023052        signaling                     "signal"
397      407     GO:0007610        behavior                      "behaviors."
440      449     GO:0023052        signaling                     "signaling"
568      577     GO:0007610        behavior                      "behaviors"
724      733     GO:0023052        signaling                     "signaling"
774      783     GO:0007612        learning                      "learning,"
1099     1109    GO:0007612        learning                      "learning)."
1204     1211    GO:0007612        learning                      "learned"
1324     1331    GO:0007612        learning                      "learned"
1981     1990    GO:0007608        sensory perception of smell   "olfaction"
2298     2307    GO:0023052        signaling                     "signaling"
2398     2406    GO:0007612        learning                      "learning"
2515     2536    GO:0008306        associative learning          "associative learning,"
2626     2632    GO:0023052        signaling                     "signal"
3031     3037    GO:0023052        signaling                     "signal"
3128     3136    GO:0007610        behavior                      "behavior"
3286     3306    GO:0008306        associative learning          "associative learning"
3573     3593    GO:0008306        associative learning          "associative learning"
3631     3638    GO:0007612        learning                      "learned"
3777     3786    GO:0023052        signaling                     "signaling"
4046     4055    GO:0009058        biosynthetic process          "formation"
4088     4097    GO:0023052        signaling                     "signaling"
4563     4583    GO:0008306        associative learning          "associative learning"
4707     4716    GO:0007610        behavior                      "behaviors"
4890     4899    GO:0023052        signaling                     "signaling"
5015     5035    GO:0008306        associative learning          "associative learning"
5082     5091    GO:0023052        signaling                     "signaling"
5114     5134    GO:0008306        associative learning          "associative learning"
5205     5214    GO:0023052        signaling                     "signaling"
5249     5269    GO:0008306        associative learning          "associative learning"
5358     5378    GO:0008306        associative learning          "associative learning"
5595     5603    GO:0007612        learning                      "learning"
5633     5642    GO:0007610        behavior                      "behavior."
5724     5744    GO:0008306        associative learning          "associative learning"
185      193     GO:0007612        learning                      "learning"
364      373     GO:0023052        signaling                     "signaling"
455      463     GO:0007612        learning                      "learning"
595      604     GO:0023052        signaling                     "signaling"
617      625     GO:0007612        learning                      "learning"
662      670     GO:0007612        learning                      "learning"
775      795     GO:0008306        associative learning          "associative learning"
866      874     GO:0007612        learning                      "learning"
911      919     GO:0007612        learning                      "learning"
1168     1176    GO:0007612        learning                      "learning"
1473     1481    GO:0007610        behavior                      "behavior"
1580     1589    GO:0023052        signaling                     "signaling"
1629     1637    GO:0007612        learning                      "learning"
1748     1757    GO:0023052        signaling                     "signaling"
1798     1806    GO:0007612        learning                      "learning"
1992     2000    GO:0007612        learning                      "learning"
2048     2067    GO:0050893        sensory processing            "sensory processing,"
2081     2089    GO:0007612        learning                      "learning"
2141     2150    GO:0023052        signaling                     "signaling"
2195     2200    GO:0007612        learning                      "learn"
2420     2425    GO:0007612        learning                      "learn"
2434     2443    GO:0007610        behavior                      "behaviors"
2509     2516    GO:0007612        learning                      "learned"
3480     3485    GO:0007612        learning                      "learn"
3596     3601    GO:0007612        learning                      "learn"
3774     3782    GO:0007610        behavior                      "behavior"
3923     3931    GO:0007612        learning                      "learning"
4798     4803    GO:0005488        binding                       "bound"
5981     5990    GO:0023052        signaling                     "signaling"
6041     6050    GO:0007612        learning                      "learning."
