Start	 End 	 Ontology	   Term				 ArtclTerm
52       63      GO:0032502        developmental process         "development"
187      197     GO:0007049        cell cycle                    "cell cycle"
238      249     GO:0008219        cell death                    "cell death."
387      397     GO:0065007        biological regulation         "regulatory"
630      644     GO:0009793        embryo development ending in seed dormancy    "embryogenesis."
630      644     GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis."
630      644     GO:0009790        embryo development            "embryogenesis."
829      834     GO:0016265        death                         "death"
1591     1602    GO:0032502        developmental process         "development"
2030     2040    GO:0065007        biological regulation         "regulatory"
2191     2198    GO:0003675        obsolete protein              "protein"
2893     2903    GO:0065007        biological regulation         "regulation"
2978     2994    GO:0004198        calcium-dependent cysteine-type endopeptidase activity        "calpain activity"
3183     3190    GO:0040007        growth                        "growth,"
3191     3203    GO:0032502        developmental process         "development,"
3231     3237    GO:0040007        growth                        "growth"
3265     3275    GO:0007049        cell cycle                    "cell cycle"
3295     3310    GO:0007165        signal transduction           "signal cascades"
3358     3366    GO:0016020        membrane                      "membrane"
3401     3413    GO:0005856        cytoskeleton                  "cytoskeleton"
3418     3432    GO:0016477        cell migration                "cell migration"
3445     3469    GO:0010941        regulation of cell death      "regulation of cell death"
3479     3487    GO:0001906        cell killing                  "necrosis"
3479     3487    GO:0019835        cytolysis                     "necrosis"
3479     3487    GO:0008220        obsolete necrosis             "necrosis"
3479     3487    GO:0070265        necrotic cell death           "necrosis"
3479     3487    GO:0008219        cell death                    "necrosis"
3492     3501    GO:0097194        execution phase of apoptosis          "apoptosis"
3492     3501    GO:0006915        apoptotic process             "apoptosis"
3627     3637    GO:0008219        cell death                    "cell death"
3882     3889    GO:0003675        obsolete protein              "protein"
4113     4136    GO:0005154        epidermal growth factor receptor binding      "epidermal growth factor"
4151     4164    GO:0048870        cell motility                 "cell motility"
4222     4229    GO:0003675        obsolete protein              "protein"
4275     4279    GO:0005623        cell                          "cell"
4386     4391    GO:0005623        cell                          "cells"
4513     4519    GO:0005623        cell                          "cells,"
4571     4575    GO:0005623        cell                          "cell"
4969     4979    GO:0007565        female pregnancy              "gestation,"
5176     5192    GO:0004198        calcium-dependent cysteine-type endopeptidase activity        "calpain activity"
5236     5245    GO:0009058        biosynthetic process          "formation"
5264     5272    GO:0008091        spectrin                      "spectrin"
5273     5282    GO:0009056        catabolic process             "breakdown"
5379     5394    GO:0005925        focal adhesion                "focal adhesions"
5753     5770    GO:0004198        calcium-dependent cysteine-type endopeptidase activity        "calpain activity,"
6108     6112    GO:0050817        coagulation                   "clot"
6171     6184    GO:0009793        embryo development ending in seed dormancy    "embryogenesis"
6171     6184    GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis"
6171     6184    GO:0009790        embryo development            "embryogenesis"
6257     6268    GO:0032502        developmental process         "development"
6426     6440    GO:0009793        embryo development ending in seed dormancy    "embryogenesis,"
6426     6440    GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis,"
6426     6440    GO:0009790        embryo development            "embryogenesis,"
130      144     GO:0009793        embryo development ending in seed dormancy    "embryogenesis."
130      144     GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis."
130      144     GO:0009790        embryo development            "embryogenesis."
231      236     GO:0005623        cell                          "cells"
288      298     GO:0007565        female pregnancy              "gestation."
407      421     GO:0009793        embryo development ending in seed dormancy    "embryogenesis."
407      421     GO:0009792        embryo development ending in birth or egg hatching    "embryogenesis."
407      421     GO:0009790        embryo development            "embryogenesis."
482      486     GO:0005623        cell                          "cell"
522      526     GO:0005623        cell                          "cell"
921      925     GO:0004239        obsolete methionyl aminopeptidase activity    "maps"
1263     1269    GO:0005623        cell                          "cells,"
1557     1561    GO:0005623        cell                          "cell"
1622     1626    GO:0005623        cell                          "cell"
1722     1731    GO:0016020        membrane                      "Membranes"
1795     1800    GO:0005623        cell                          "cells"
2028     2034    GO:0005623        cell                          "cells,"
2113     2117    GO:0005623        cell                          "cell"
2747     2753    GO:0005623        cell                          "cells,"
2780     2786    GO:0023052        signaling                     "signal"
3052     3056    GO:0005623        cell                          "cell"
3255     3268    GO:0000003        reproduction                  "reproduction,"
3550     3562    GO:0032502        developmental process         "development."
3873     3878    GO:0016265        death                         "dying"
4599     4606    GO:0003675        obsolete protein              "protein"
6114     6119    GO:0007618        mating                        "mated"
6114     6119    GO:1990277        parasexual conjugation with cellular fusion   "mated"
6114     6119    GO:0000747        conjugation with cellular fusion      "mated"
6114     6119    GO:0009291        unidirectional conjugation    "mated"
6136     6149    GO:0009566        fertilization                 "fertilization"
