Start	 End 	 Ontology	   Term				 ArtclTerm
166      181     GO:0006351        transcription, DNA-templated  "transcriptional"
194      204     GO:0005777        peroxisome                    "peroxisome"
462      468     GO:0040007        growth                        "growth"
1028     1032    GO:0019013        viral nucleocapsid            "core"
1600     1609    GO:0008152        metabolic process             "metabolic"
1600     1609    GO:0007552        metamorphosis                 "metabolic"
1866     1875    GO:0023052        signaling                     "signaling"
1880     1895    GO:0006351        transcription, DNA-templated          "transcriptional"
1896     1906    GO:0065007        biological regulation         "regulatory"
2027     2038    GO:0008152        metabolic process             "metabolism,"
2094     2109    GO:0006351        transcription, DNA-templated          "transcriptional"
2123     2133    GO:0005777        peroxisome                    "peroxisome"
2235     2245    GO:0065007        biological regulation         "regulatory"
2272     2295    GO:0006355        regulation of transcription, DNA-templated    "transcriptional control"
2677     2692    GO:0006351        transcription, DNA-templated          "transcriptional"
3291     3298    GO:0033867        Fas-activated serine/threonine kinase activity        "fasting"
3656     3669    GO:0006351        transcription, DNA-templated          "transcription"
3753     3778    GO:0004879        RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding       "nuclear hormone receptors"
3863     3871    GO:0007519        skeletal muscle tissue development    "myogenic"
3863     3871    GO:0048740        obsolete striated muscle fiber development    "myogenic"
3882     3886    GO:0005623        cell                          "cell"
4115     4130    GO:0006351        transcription, DNA-templated          "transcriptional"
4145     4162    GO:0000262        mitochondrial chromosome      "mitochondrial DNA"
4163     4176    GO:0006351        transcription, DNA-templated          "transcription"
4463     4490    GO:0000266        mitochondrial fission         "mitochondrial proliferation"
4499     4508    GO:0009058        biosynthetic process          "formation"
4832     4845    GO:0006094        gluconeogenesis               "gluconeogenic"
5414     5426    GO:0042592        homeostatic process           "homeostasis,"
5453     5465    GO:0032502        developmental process         "development,"
5470     5476    GO:0040007        growth                        "growth"
302      309     GO:0003675        obsolete protein              "protein"
336      340     GO:0005623        cell                          "cell"
465      481     GO:0009409        response to cold              "response to cold"
584      592     GO:0003675        obsolete protein              "proteins"
1222     1228    GO:0016265        death                         "deaths"
2747     2753    GO:0040007        growth                        "growth"
3370     3376    GO:0040007        growth                        "growth"
3535     3541    GO:0040007        growth                        "growth"
3683     3703    GO:0031012        extracellular matrix          "extracellular matrix"
3968     3980    GO:0005739        mitochondrion                 "mitochondria"
4188     4200    GO:0005739        mitochondrion                 "mitochondria"
4304     4316    GO:0030016        myofibril                     "myofibrillar"
4459     4467    GO:0003675        obsolete protein              "proteins"
4480     4512    GO:0042775        mitochondrial ATP synthesis coupled electron transport        "mitochondrial electron transport"
4513     4526    GO:0009461        obsolete cytochrome c         "(cytochrome c"
4513     4526    GO:0045155        electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity      "(cytochrome c"
4531     4541    GO:0045157        electron transporter, transferring electrons within the noncyclic electron transport pathway of photosynthesis activity       "cytochrome"
4531     4541    GO:0009458        obsolete cytochrome           "cytochrome"
4531     4541    GO:0045158        electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity        "cytochrome"
4531     4541    GO:0009459        obsolete cytochrome a         "cytochrome"
4531     4541    GO:0045154        electron transporter, transferring electrons within cytochrome c oxidase complex activity     "cytochrome"
4531     4541    GO:0045153        electron transporter, transferring electrons within CoQH2-cytochrome c reductase complex activity     "cytochrome"
4531     4541    GO:0045155        electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity      "cytochrome"
4531     4541    GO:0045156        electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity          "cytochrome"
4558     4583    GO:0006119        oxidative phosphorylation     "oxidative phosphorylation"
4601     4614    GO:0016467        obsolete hydrogen-translocating F-type ATPase activity        "ATP synthase)"
4601     4614    GO:0016468        obsolete sodium-translocating F-type ATPase activity          "ATP synthase)"
4755     4772    GO:0000262        mitochondrial chromosome      "mitochondrial DNA"
5216     5227    GO:0007585        respiratory gaseous exchange          "respiration"
5216     5227    GO:0045333        cellular respiration          "respiration"
5375     5387    GO:0007585        respiratory gaseous exchange          "respiration,"
5375     5387    GO:0045333        cellular respiration          "respiration,"
5480     5491    GO:0007585        respiratory gaseous exchange          "respiration"
5480     5491    GO:0045333        cellular respiration          "respiration"
5603     5614    GO:0007585        respiratory gaseous exchange          "respiration"
5603     5614    GO:0045333        cellular respiration          "respiration"
191      211     GO:0035640        exploration behavior          "exploratory behavior"
823      837     GO:0001966        thigmotaxis                   "(thigmotaxis),"
3597     3601    GO:0004235        obsolete matrilysin activity          "pump"
3725     3729    GO:0007568        aging                         "ages"
