Start	 End 	 Ontology	   Term				 ArtclTerm
33       44      GO:0032502        developmental process         "Development"
180      188     GO:0003675        obsolete protein              "proteins"
209      224     GO:0010467        gene expression               "gene expression"
238      247     GO:0000785        chromatin                     "chromatin"
368      377     GO:0003675        obsolete protein              "proteins."
419      430     GO:0032502        developmental process         "development"
622      634     GO:0032502        developmental process         "development."
639      647     GO:0003675        obsolete protein              "protein,"
814      823     GO:0009058        biosynthetic process          "formation"
1032     1044    GO:0000805        X chromosome                  "X chromosome"
1353     1364    GO:0032502        developmental process         "development"
1439     1465    GO:0009048        dosage compensation by inactivation of X chromosome   "X chromosome inactivation."
1502     1510    GO:0003675        obsolete protein              "proteins"
1531     1546    GO:0006323        DNA packaging                 "DNA is packaged"
1552     1562    GO:0000785        chromatin                     "chromatin,"
1599     1607    GO:0003675        obsolete protein              "proteins"
1615     1622    GO:0005634        nucleus                       "nucleus"
1673     1689    GO:0010467        gene expression               "gene expression."
1749     1763    GO:0000803        sex chromosome                "sex chromosome"
1864     1873    GO:0003675        obsolete protein              "proteins."
2005     2013    GO:0003675        obsolete protein              "proteins"
2034     2038    GO:0005623        cell                          "cell"
2217     2228    GO:0032502        developmental process         "development"
2329     2341    GO:0000805        X chromosome                  "X chromosome"
2428     2440    GO:0000805        X chromosome                  "X chromosome"
3178     3195    GO:0016234        inclusion body                "inclusion bodies)"
3454     3464    GO:0005694        chromosome                    "chromosome"
3791     3798    GO:0003675        obsolete protein              "protein"
3852     3859    GO:0003675        obsolete protein              "protein"
4077     4084    GO:0045292        mRNA cis splicing, via spliceosome    "spliced"
4235     4248    GO:0000805        X chromosome                  "X chromosome,"
4580     4589    GO:0000785        chromatin                     "chromatin"
4648     4657    GO:0003675        obsolete protein              "proteins,"
4789     4798    GO:0000785        chromatin                     "chromatin"
4834     4849    GO:0000792        heterochromatin               "heterochromatin"
4897     4911    GO:0033620        Mei2 nuclear dot complex      "nuclear bodies"
4897     4911    GO:1990251        Mmi1 nuclear focus complex    "nuclear bodies"
4897     4911    GO:0016604        nuclear body                  "nuclear bodies"
4996     5022    GO:0044728        DNA methylation or demethylation      "changes in DNA methylation"
5066     5081    GO:0010467        gene expression               "gene expression"
5114     5118    GO:0019013        viral nucleocapsid            "core"
5242     5250    GO:0003675        obsolete protein              "protein,"
5275     5288    GO:0006351        transcription, DNA-templated          "transcription"
5448     5463    GO:0006351        transcription, DNA-templated          "transcriptional"
5464     5474    GO:0065007        biological regulation         "regulation"
5545     5552    GO:0003675        obsolete protein              "protein"
5570     5582    GO:0032502        developmental process         "development."
5615     5622    GO:0003675        obsolete protein              "protein"
5636     5648    GO:0032502        developmental process         "development,"
5739     5745    GO:0005623        cell                          "cells,"
