Start	End	Ontology	Ontology Term	Annotated Term
103	121	GO:0006006	glucose		metabolic
206	214	GO:0003675	obsolete	protein
744	755	GO:0006096	glycolytic	process
864	882	GO:0051131	chaperone-mediated	protein
864	882	GO:0006457	protein		folding
864	882	GO:0003754	obsolete	chaperone
864	882	GO:0006461	protein		complex
864	882	GO:0044183	protein		binding
864	882	GO:0051082	unfolded	protein
984	991	GO:0005829	cytosol		cytosol
1104	1108	GO:0005623	cell		cell
1615	1633	GO:0006007	glucose		catabolic
1656	1670	GO:0046323	glucose		import
1675	1708	GO:0006094PHENOTYPE		gluconeogenesis	phenotype
1899	1918	GO:0006007	glucose		catabolic
1919	1938	GO:0097009	energy		homeostasis
1955	1965	GO:0008152	metabolic	process
1955	1965	GO:0007552	metamorphosis	metabolic,
1966	1971	GO:0007568	aging		aging
2062	2069	GO:0003675	obsolete	protein
2109	2116	GO:0003675	obsolete	protein
2313	2317	GO:0005623	cell		cell
2365	2374	GO:0003675	obsolete	protein
2386	2393	GO:0003675	obsolete	protein
2430	2437	GO:0005829	cytosol		cytosol
2494	2508	GO:0051301	cell		division
2970	2988	GO:0051131	chaperone-mediated	protein
2970	2988	GO:0006457	protein	folding
2970	2988	GO:0003754	obsolete	chaperone
2970	2988	GO:0006461	protein		complex
2970	2988	GO:0044183	protein		binding
2970	2988	GO:0051082	unfolded	protein
3161	3170	GO:0009056	catabolic	process
3375	3394	GO:0008152	metabolic	process
3665	3672	GO:0003675	obsolete	protein
3695	3704	GO:0009058	biosynthetic	process
3712	3737	GO:0030472	mitotic		spindle
3712	3737	GO:0090307	mitotic		spindle
3745	3761	GO:0005635	nuclear		envelope
3794	3820	GO:0051081	nuclear		envelope
3826	3847	GO:0051382	kinetochore	assembly
3876	3883	GO:0007067	mitotic		nuclear
4015	4019	GO:0005623	cell		cell
4108	4112	GO:0005623	cell		cell
4304	4318	GO:0051170	nuclear		import
4356	4366	GO:0003823	antigen		binding
4356	4366	GO:0019815	B		cell
4356	4366	GO:0042571	immunoglobulin	complex,
