Start	End	Ontology	Ontology Term	Annotated Term
246	258	GO:0009405	pathogenesis	pathogenesis
374	380	GO:0005623	cell		cells.
501	509	GO:0033867	Fas-activated	serine/threonine
906	926	GO:0019395	fatty		acid
931	943	GO:0009405	pathogenesis	pathogenesis
972	993	GO:0019395	fatty		acid
1106	1117	GO:0008152	metabolic	process
1133	1153	GO:0019395	fatty		acid
1269	1276	GO:0033867	Fas-activated	serine/threonine
1286	1295	GO:0008152	metabolic	process
1286	1295	GO:0007552	metamorphosis	Metabolic
2181	2188	GO:0033867	Fas-activated	serine/threonine
2201	2221	GO:0019395	fatty		acid
2232	2244	GO:0005739	mitochondrion	mitochondria
2472	2479	GO:0003675	obsolete	protein
2641	2649	GO:0005634	nucleus		nucleus,
2668	2676	GO:0005829	cytosol		cytosol,
2703	2723	GO:0005759	mitochondrial	matrix
2747	2768	GO:0005759	mitochondrial	matrix
2852	2865	GO:0070991	medium-chain-acyl-CoA	dehydrogenase
2892	2913	GO:0019395	fatty		acid
3350	3358	GO:0033867	Fas-activated	serine/threonine
3648	3660	GO:0009405	pathogenesis	pathogenesis
3682	3691	GO:0008152	metabolic	process
3682	3691	GO:0007552	metamorphosis	metabolic
3880	3892	GO:0009405	pathogenesis	pathogenesis
4122	4127	GO:0005623	cell		cells
4516	4521	GO:0005623	cell		cells
4764	4775	GO:0006412	translation	Translation
4961	4972	GO:0006412	translation	translation
5601	5606	GO:0005623	cell		cells
5864	5868	GO:0005623	cell		cell
5914	5918	GO:0005623	cell		cell
3	7	GO:0005623	cell		cell
211	215	GO:0031672	A		band
253	257	GO:0031672	A		band
356	360	GO:0005623	cell		cell
1999	2006	GO:0045292	mRNA		cis
2342	2349	GO:0045292	mRNA		cis
3295	3302	GO:0003675	obsolete	protein
3453	3461	GO:0003823	antigen		binding
3453	3461	GO:0019815	B		cell
3453	3461	GO:0042571	immunoglobulin	complex,
3475	3484	GO:0003823	antigen		binding
3475	3484	GO:0019815	B		cell
3475	3484	GO:0042571	immunoglobulin	complex,
3532	3540	GO:0003675	obsolete	protein
3546	3553	GO:0003675	obsolete	protein
3691	3699	GO:0003823	antigen	binding
3691	3699	GO:0019815	B		cell
3691	3699	GO:0042571	immunoglobulin	complex,
3719	3726	GO:0003675	obsolete	protein
3798	3805	GO:0003675	obsolete	protein
3831	3841	GO:0003823	antigen		binding
3831	3841	GO:0019815	B		cell
3831	3841	GO:0042571	immunoglobulin	complex,
3887	3902	GO:0003824	catalytic	activity
3953	3971	GO:0006118	obsolete	electron
5330	5337	GO:0007618	mating		matings
5330	5337	GO:1990277	parasexual	conjugation
5330	5337	GO:0000747	conjugation	with
5330	5337	GO:0009291	unidirectional	conjugation
5361	5369	GO:0007618	mating	matings.
5361	5369	GO:1990277	parasexual	conjugation
5361	5369	GO:0000747	conjugation	with
5361	5369	GO:0009291	unidirectional	conjugation
