Start	End	Ontology	Ontology Term	Annotated Term
191	215	GO:1904116	response	to
414	425	GO:0032502	developmental	process
960	965	GO:0046930	pore		complex
1203	1211	GO:0003675	obsolete	protein
1243	1264	GO:0005783	endoplasmic	reticulum
1288	1300	GO:0051179	localization	localization
1329	1337	GO:0003675	obsolete	protein
1545	1554	GO:0060073	micturition	urination
1639	1646	GO:0023052	signaling	signals
1793	1798	GO:0005488	binding		binds
1813	1820	GO:0003675	obsolete	protein
1879	1886	GO:0005488	binding		binding
2003	2011	GO:0003675	obsolete	protein
2168	2173	GO:0005623	cell		cell,
3140	3149	GO:0060073	micturition	urination
3343	3352	GO:0030849	autosome	autosomal
3428	3435	GO:0003675	obsolete	protein
3530	3535	GO:0005623	cell		cells
3571	3579	GO:0003675	obsolete	protein
3620	3635	GO:0005886	plasma		membrane
3644	3650	GO:0005623	cell		cells,
3793	3804	GO:0015250	water		channel
3883	3898	GO:0005886	plasma		membrane
3924	3932	GO:0003675	obsolete	protein
4042	4050	GO:0016020	membrane	membrane
4054	4059	GO:0005623	cell		cells
4107	4117	GO:0015250	water		channel
4248	4264	GO:0005886	plasma		membrane
4293	4300	GO:0003675	obsolete	protein
4322	4335	GO:0005622	intracellular	intracellular
4336	4345	GO:0031982	vesicle		vesicles;
4388	4397	GO:0051235	maintenance	of
4430	4439	GO:0016020	membrane	membrane,
4508	4513	GO:0005488	binding		binds
4582	4588	GO:0005623	cell	cells,
4610	4623	GO:0005622	intracellular	intracellular
4654	4669	GO:0016310	phosphorylation	phosphorylation
4759	4775	GO:0005886	plasma	membrane
5048	5052	GO:0046930	pore	complex
5217	5224	GO:0003675	obsolete	protein
5244	5252	GO:0016020	membrane	membrane
5772	5790	GO:0030104	water	homeostasis
173	185	GO:0051179	localization	localization
211	217	GO:0005623	cell	cells,
357	361	GO:0005623	cell	cell
383	404	GO:0005783	endoplasmic	reticulum
428	436	GO:0003675	obsolete	protein
770	780	GO:0008152	metabolic	process
834	839	GO:0007631	feeding	behavior
853	858	GO:0004617	phosphoglycerate	dehydrogenase
1356	1363	GO:0003675	obsolete	protein
1439	1452	GO:0005576	extracellular	region
1471	1479	GO:0016020	membrane	membrane
1733	1742	GO:0003675	obsolete	protein
3613	3620	GO:0007618	mating	matings
3613	3620	GO:1990277	parasexual	conjugation
3613	3620	GO:0000747	conjugation	with
3613	3620	GO:0009291	unidirectional	conjugation
5161	5168	GO:0097649	A	axonemal
5322	5335	GO:0070085	glycosylation	glycosylation
5405	5412	GO:0003675	obsolete	protein
5433	5438	GO:0031672	A	band
5466	5473	GO:0003675	obsolete	protein
5568	5573	GO:0019013	viral	nucleocapsid
5587	5600	GO:0070085	glycosylation	glycosylation
6036	6045	GO:0007586	digestion	digestion
6132	6139	GO:0003675	obsolete	protein
6354	6362	GO:0003675	obsolete	protein
6642	6654	GO:0009986	cell	surface
6942	6951	GO:0031982	vesicle	vesicles.
32	53	GO:0005783	endoplasmic	reticulum
291	296	GO:0005623	cell	cells
389	401	GO:0009986	cell	surface
519	523	GO:0005623	cell	cell
720	732	GO:0009986	cell	surface
1049	1055	GO:0005623	cell	cells.
1063	1067	GO:0005623	cell	cell
1154	1161	GO:0003675	obsolete	protein
1183	1187	GO:0005623	cell	cell
1211	1216	GO:0005623	cell	cells
1234	1247	GO:0070085	glycosylation	glycosylation
1309	1316	GO:0003675	obsolete	protein
1505	1511	GO:0005623	cell	cells,
