Start	End	Ontology	Ontology Term	Annotated Term
506	514	GO:0003675	obsolete	protein
768	776	GO:0003675	obsolete	protein
798	807	GO:0003675	obsolete	protein
940	949	GO:0003675	obsolete	protein
1199	1206	GO:0005488	binding		binding
1229	1253	GO:0004879	RNA		polymerase
1319	1326	GO:0003675	obsolete	protein
1364	1371	GO:0005819	spindle		spindle
1387	1395	GO:0003675	obsolete	protein
1441	1461	GO:0006412	translation	protein translation,
1462	1476	GO:0006396	RNA		processing
1481	1494	GO:0006351	transcription,	DNA-templated
1534	1543	GO:0003675	obsolete	protein
1580	1588	GO:0003675	obsolete	protein
1692	1701	GO:0003675	obsolete	protein
1702	1728	GO:0004879	RNA		polymerase
1808	1816	GO:0003675	obsolete	protein
1892	1902	GO:0005813	centrosome	centrosome
1966	1987	GO:0006338	chromatin	remodeling
1988	2003	GO:0006351	transcription,	DNA-templated
2045	2050	GO:0005623	cell		cell.
2844	2860	GO:0044215	other		organism
3075	3082	GO:0003675	obsolete	protein
3174	3185	GO:0032502	developmental	process
3242	3252	GO:0005694	chromosome	chromosome
3328	3334	GO:0004239	obsolete	methionyl
3349	3368	GO:0098687	chromosomal	region
3378	3389	GO:0005694	chromosome	chromosomes
3441	3445	GO:0005007	fibroblast	growth
3470	3477	GO:0004239	obsolete	methionyl
3654	3658	GO:0005007	fibroblast	growth
3889	3893	GO:0005007	fibroblast	growth
4020	4024	GO:0005007	fibroblast	growth
4628	4644	GO:0044215	other		organism
898	907	GO:0003675	obsolete	protein
1054	1063	GO:0003675	obsolete	protein
1171	1179	GO:0003675	obsolete	protein
1248	1255	GO:0003777	microtubule	motor
1261	1269	GO:0003675	obsolete	protein
1291	1300	GO:0003675	obsolete	protein
2652	2660	GO:0003675	obsolete	protein
3200	3205	GO:0005623	cell		cell.
3945	3955	GO:0005694	chromosome	chromosome
4366	4376	GO:0005694	chromosome	chromosome
70	88	GO:0098687	chromosomal	region
1176	1184	GO:0003675	obsolete	protein
1942	1948	GO:0045292	mRNA		cis
3341	3353	GO:0051179	localization	localization
3367	3374	GO:0003675	obsolete	protein
3382	3393	GO:0005813	centrosome	centrosome.
4192	4200	GO:0003675	obsolete	protein
4305	4313	GO:0003675	obsolete	protein
4498	4502	GO:0005007	fibroblast	growth
4600	4619	GO:0098687	chromosomal	region
4635	4639	GO:0005007	fibroblast	growth
5016	5026	GO:0005694	chromosome	chromosome
5051	5061	GO:0005694	chromosome	chromosome
5463	5481	GO:0098687	chromosomal	region
5608	5612	GO:0004239	obsolete	methionyl
5616	5626	GO:0005694	chromosome	chromosome
5722	5732	GO:0005694	chromosome	chromosome
5827	5838	GO:0005694	chromosome	chromosomes
6070	6074	GO:0005007	fibroblast	growth
6220	6230	GO:0005694	chromosome	chromosome
70	89	GO:0098687	chromosomal	region
399	410	GO:0065007	biological	regulation
1376	1386	GO:0005694	chromosome	chromosome
1498	1505	GO:0004239	obsolete	methionyl
1905	1915	GO:0005694	chromosome	chromosome
2395	2405	GO:0005694	chromosome	chromosome
2997	3002	GO:0005007	fibroblast	growth
3410	3419	GO:0009058	biosynthetic	process
4124	4128	GO:0005007	fibroblast	growth
4247	4256	GO:0009058	biosynthetic	process
4556	4566	GO:0005694	chromosome	chromosome
4826	4836	GO:0005694	chromosome	chromosome
5061	5069	GO:0003675	obsolete	protein
5125	5129	GO:0005488	binding		bind
5181	5186	GO:0005488	binding		binds
776	784	GO:0003675	obsolete	protein
