Start	End	Ontology	Ontology Term	Annotated Term
15	24	GO:0023052	signaling	signaling
96	105	GO:0097194	execution	phase
96	105	GO:0006915	apoptotic	process
450	459	GO:0023052	signaling	signaling
492	522	GO:0014032	neural		crest
546	555	GO:0023052	signaling	signaling
718	727	GO:0023052	signaling	signaling
876	888	GO:0032502	developmental	process
993	1021	GO:0001755	neural		crest
1194	1203	GO:0023052	signaling	signaling
1310	1322	GO:0032502	developmental	process
1911	1920	GO:0009058	biosynthetic	process
2241	2252	GO:0032502	developmental	process
2709	2716	GO:0023052	signaling	signals
2916	2924	GO:0023052	signaling	signals.
3172	3181	GO:0009058	biosynthetic	process
3266	3277	GO:0032502	developmental	process
3447	3457	GO:0000917	barrier		septum
3511	3518	GO:0005488	binding		ligands
3519	3525	GO:0023052	signaling	signal
3532	3548	GO:0043235	receptor	complex
3617	3623	GO:0005488	binding		Ligand
3624	3631	GO:0005488	binding		binding
3641	3656	GO:0016310	phosphorylation	phosphorylation
3824	3828	GO:0005488	binding		bind
3947	3951	GO:0005488	binding		bind
4085	4094	GO:0023052	signaling	signaling
4152	4161	GO:0009058	biosynthetic	process
4313	4321	GO:0005488	binding		ligands,
4332	4336	GO:0005488	binding		bind
4398	4404	GO:0040007	growth		growth
4452	4456	GO:0005488	binding		bind
4460	4467	GO:0016915	obsolete	activin
4460	4467	GO:0005160	transforming	growth
4590	4594	GO:0005623	cell		cell
5017	5026	GO:0023052	signaling	signaling
5418	5427	GO:0000917	barrier		septum
5750	5759	GO:0023052	signaling	signaling
5786	5793	GO:0005488	binding		binding
5859	5882	GO:0060465	pharynx		development
51	61	GO:0007565	female		pregnancy
286	297	GO:0032502	developmental	process
706	711	GO:0043198	dendritic	shaft
1344	1350	GO:0043198	dendritic	shaft
1383	1389	GO:0007114	cell		budding
1439	1444	GO:0043198	dendritic	shaft
2004	2017	GO:0009653	anatomical	structure
2452	2459	GO:0030428	cell		septum
2507	2513	GO:0030428	cell		septum
3030	3042	GO:0032502	developmental	process
3193	3202	GO:0023052	signaling	signaling
6751	6756	GO:0005623	cell		cells
692	701	GO:0000917	barrier		septum
1043	1049	GO:0030428	cell		septum
1109	1118	GO:0000917	barrier		septum
1780	1789	GO:0000917	barrier		septum
2427	2432	GO:0005623	cell		cells
2966	2972	GO:0030428	cell		septum
3036	3042	GO:0030428	cell		septum
3140	3147	GO:0030428	cell		septum
3254	3263	GO:0000917	barrier		septum
3490	3499	GO:0023052	signaling	signaling
3515	3549	GO:0051145	smooth		muscle
3719	3728	GO:0009058	biosynthetic	process
3739	3746	GO:0030428	cell		septum
4267	4276	GO:0023052	signaling	Signaling
4343	4353	GO:0000917	barrier		septum
4795	4801	GO:0030428	cell		septum
5166	5176	GO:0097194	execution	phase
5166	5176	GO:0006915	apoptotic	process
5368	5373	GO:0005623	cell		cells
5512	5517	GO:0005623	cell		cells
5542	5547	GO:0005623	cell		cells
5725	5734	GO:0097194	execution	phase
5725	5734	GO:0006915	apoptotic	process
5762	5771	GO:0097194	execution	phase
5762	5771	GO:0006915	apoptotic	process
5793	5798	GO:0005623	cell	cells
5861	5867	GO:0030428	cell	septum
5937	5946	GO:0097194	execution	phase
5937	5946	GO:0006915	apoptotic	process
6164	6169	GO:0005623	cell	cells
6225	6234	GO:0000917	barrier	septum
18	27	GO:0097194	execution	phase
18	27	GO:0006915	apoptotic	process
490	499	GO:0097194	execution	phase
490	499	GO:0006915	apoptotic	process
500	505	GO:0005623	cell	cells
601	610	GO:0097194	execution	phase
601	610	GO:0006915	apoptotic	process
611	616	GO:0005623	cell	cells
892	902	GO:0023052	signaling	signaling,
968	977	GO:0097194	execution	phase
968	977	GO:0006915	apoptotic	process
992	997	GO:0005623	cell	cells
1135	1146	GO:0032502	developmental	process
1588	1592	GO:0044326	dendritic	spine
1921	1933	GO:0032502	developmental	process
2044	2048	GO:0044326	dendritic	spine
2853	2858	GO:0005623	cell	cells
4079	4086	GO:0005488	binding	binding
4531	4540	GO:0000917	barrier	septum
4955	4964	GO:0097194	execution	phase
4955	4964	GO:0006915	apoptotic	process
5080	5090	GO:0008219	cell	death
5189	5198	GO:0023052	signaling	signaling
5263	5280	GO:0043235	receptor	complex
5300	5309	GO:0023052	signaling	signaling
5327	5335	GO:0005488	binding	ligands,
39	45	GO:0040007	growth	growth
466	480	GO:0009653	anatomical	structure
505	514	GO:0097194	execution	phase
505	514	GO:0006915	apoptotic	process
653	662	GO:0097194	execution	phase
653	662	GO:0006915	apoptotic	process
774	780	GO:0030428	cell	septum
799	809	GO:0008219	cell	death
882	887	GO:0005623	cell	cells
992	998	GO:0030428	cell	septum
1097	1102	GO:0005623	cell	cells
