Start	End	Ontology	Ontology Term	Annotated Term
0	10	GO:0065007	biological	regulation
14	26	GO:0030484	obsolete	muscle
14	26	GO:0043292	contractile	fiber
124	136	GO:0030484	obsolete	muscle
124	136	GO:0043292	contractile	fiber
230	246	GO:0010467	gene		expression
523	533	GO:0005777	peroxisome	peroxisome
748	763	GO:0010467	gene		expression
871	880	GO:0008152	metabolic	process
871	880	GO:0007552	metamorphosis	metabolic
1264	1275	GO:0008152	metabolic	process
1358	1378	GO:0045333	cellular	respiration
1655	1665	GO:0008152	metabolic	process
1991	2011	GO:0014823	response	to
2141	2145	GO:1990343	heterochromatin	domain
2172	2184	GO:0030484	obsolete	muscle
2172	2184	GO:0043292	contractile	fiber
2252	2269	GO:0019722	calcium-mediated	signaling
2260	2277	GO:0007165	signal		transduction
2292	2304	GO:0004723	calcium-dependent	protein
2292	2304	GO:0004722	protein	serine/threonine
2342	2357	GO:0006351	transcription,	DNA-templated
2367	2377	GO:0005777	peroxisome	Peroxisome
2638	2647	GO:0008152	metabolic	process
2638	2647	GO:0007552	metamorphosis	metabolic
2679	2691	GO:0030484	obsolete	muscle
2679	2691	GO:0043292	contractile	fiber
3268	3275	GO:0016088	obsolete	insulin
3387	3397	GO:0005777	peroxisome	peroxisome
3450	3465	GO:0006351	transcription,	DNA-templated
3815	3824	GO:0009058	biosynthetic	process
4021	4033	GO:0030484	obsolete	muscle
4021	4033	GO:0043292	contractile	fiber
4068	4080	GO:0030484	obsolete	muscle
4068	4080	GO:0043292	contractile	fiber
4257	4270	GO:0030484	obsolete	muscle
4257	4270	GO:0043292	contractile	fiber
4606	4613	GO:0003675	obsolete	protein
4698	4710	GO:0030484	obsolete	muscle
4698	4710	GO:0043292	contractile	fiber
5209	5223	GO:0030484	obsolete	muscle
5209	5223	GO:0043292	contractile	fiber
5369	5376	GO:0003675	obsolete	protein
5515	5522	GO:0003675	obsolete	protein
5915	5922	GO:0003675	obsolete	protein
6188	6200	GO:0030484	obsolete	muscle
6188	6200	GO:0043292	contractile	fiber
298	315	GO:0006118	obsolete	electron
298	315	GO:0022904	respiratory	electron
316	329	GO:0009461	obsolete	cytochrome
316	329	GO:0045155	electron	transporter,
567	579	GO:0030484	obsolete	muscle
567	579	GO:0043292	contractile	fiber
840	857	GO:0000262	mitochondrial	chromosome
1056	1068	GO:0030484	obsolete	muscle
1056	1068	GO:0043292	contractile	fiber
1193	1202	GO:0003675	obsolete	protein
1225	1237	GO:0009461	obsolete	cytochrome
1225	1237	GO:0045155	electron	transporter,
1321	1328	GO:0003675	obsolete	protein
1459	1466	GO:0003675	obsolete	protein
1478	1484	GO:0033867	Fas-activated	serine/threonine
1857	1866	GO:0003675	obsolete	protein
2009	2021	GO:0030484	obsolete	muscle
2009	2021	GO:0043292	contractile	fiber
2110	2122	GO:0030484	obsolete	muscle
2110	2122	GO:0043292	contractile	fiber
3791	3803	GO:0030484	obsolete	muscle
3791	3803	GO:0043292	contractile	fiber
5239	5251	GO:0030484	obsolete	muscle
5239	5251	GO:0043292	contractile	fiber
5308	5320	GO:0030484	obsolete	muscle
5308	5320	GO:0043292	contractile	fiber
5784	5799	GO:0006351	transcription,	DNA-templated
5821	5833	GO:0030484	obsolete	muscle
5821	5833	GO:0043292	contractile	fiber
6176	6188	GO:0030484	obsolete	muscle
6176	6188	GO:0043292	contractile	fiber
6436	6448	GO:0030484	obsolete	muscle
6436	6448	GO:0043292	contractile	fiber
241	253	GO:0030484	obsolete	muscle
241	253	GO:0043292	contractile	fiber
321	333	GO:0060384	innervation	innervation,
372	381	GO:0008152	metabolic	process
372	381	GO:0007552	metamorphosis	metabolic
782	794	GO:0004723	calcium-dependent	protein
782	794	GO:0004722	protein	serine/threonine
1033	1039	GO:0005488	binding		ligand
1132	1144	GO:0030484	obsolete	muscle
1132	1144	GO:0043292	contractile	fiber
1444	1450	GO:0023052	signaling	signal
1454	1461	GO:0005488	binding		ligand,
1805	1812	GO:0005488	binding		ligands
2256	2263	GO:0005488	binding		ligands
2343	2352	GO:0023052	signaling	signaling
2447	2457	GO:0065007	biological	regulation
2530	2542	GO:0030484	obsolete	muscle
2530	2542	GO:0043292	contractile	fiber
2659	2678	GO:0006006	glucose		metabolic
2806	2812	GO:0005488	binding		ligand
2957	2975	GO:0006006	glucose		metabolic
3369	3375	GO:0007568	aging		aging.
3425	3432	GO:0005488	binding		ligands
3477	3489	GO:0030484	obsolete	muscle
3477	3489	GO:0043292	contractile	fiber
3525	3532	GO:0016088	obsolete	insulin
3765	3780	GO:2000144	positive	regulation
4707	4713	GO:0005488	binding		ligand
4828	4843	GO:0010467	gene		expression
5010	5020	GO:0003823	antigen		binding
5010	5020	GO:0019815	B		cell
5010	5020	GO:0042571	immunoglobulin	complex,
5119	5126	GO:0003675	obsolete	protein
5614	5626	GO:0030484	obsolete	muscle
5614	5626	GO:0043292	contractile	fiber
5638	5655	GO:0000262	mitochondrial	chromosome
5666	5678	GO:0030484	obsolete	muscle
5666	5678	GO:0043292	contractile	fiber
7	19	GO:0005739	mitochondrion	mitochondria
57	74	GO:0000262	mitochondrial	chromosome
2027	2037	GO:0005777	peroxisome	Peroxisome
2098	2108	GO:0005777	peroxisome	peroxisome
2158	2165	GO:0003675	obsolete	protein
2552	2561	GO:0003823	antigen		binding
2552	2561	GO:0019815	B		cell
2552	2561	GO:0042571	immunoglobulin	complex,
2953	2964	GO:0003823	antigen		binding
2953	2964	GO:0019815	B		cell
2953	2964	GO:0042571	immunoglobulin	complex,
2988	2992	GO:0031672	A		band
3032	3040	GO:0003823	antigen		binding
3032	3040	GO:0019815	B		cell
3032	3040	GO:0042571	immunoglobulin	complex,
3956	3973	GO:0000262	mitochondrial	chromosome
4046	4063	GO:0000262	mitochondrial	chromosome
4140	4152	GO:0030484	obsolete	muscle
4140	4152	GO:0043292	contractile	fiber
5133	5139	GO:0033867	Fas-activated	serine/threonine
5988	5994	GO:0033867	Fas-activated	serine/threonine
7142	7152	GO:0065007	biological	regulation
7156	7168	GO:0030484	obsolete	muscle
7156	7168	GO:0043292	contractile	fiber
