Start	End	Ontology	Ontology Term	Annotated Term
52	63	GO:0032502	developmental	process
187	197	GO:0007049	cell		cycle
238	249	GO:0008219	cell		death
387	397	GO:0065007	biological	regulation
630	644	GO:0009793	embryo		development
630	644	GO:0009792	embryo		development
630	644	GO:0009790	embryo		development
829	834	GO:0016265	death		death
1591	1602	GO:0032502	developmental	process
2030	2040	GO:0065007	biological	regulation
2191	2198	GO:0003675	obsolete	protein
2893	2903	GO:0065007	biological	regulation
2978	2994	GO:0004198	calcium-dependent	cysteine-type
3183	3190	GO:0040007	growth		growth,
3191	3203	GO:0032502	developmental	process
3231	3237	GO:0040007	growth		growth
3265	3275	GO:0007049	cell		cycle
3295	3310	GO:0007165	signal		transduction
3358	3366	GO:0016020	membrane	membrane
3401	3413	GO:0005856	cytoskeleton	cytoskeleton
3418	3432	GO:0016477	cell		migration
3445	3469	GO:0010941	regulation	of
3479	3487	GO:0001906	cell		killing
3479	3487	GO:0019835	cytolysis	necrosis
3479	3487	GO:0008220	obsolete	necrosis
3479	3487	GO:0070265	necrotic	cell
3479	3487	GO:0008219	cell		death
3492	3501	GO:0097194	execution	phase
3492	3501	GO:0006915	apoptotic	process
3627	3637	GO:0008219	cell		death
3882	3889	GO:0003675	obsolete	protein
4113	4136	GO:0005154	epidermal	growth
4151	4164	GO:0048870	cell		motility
4222	4229	GO:0003675	obsolete	protein
4275	4279	GO:0005623	cell		cell
4386	4391	GO:0005623	cell		cells
4513	4519	GO:0005623	cell		cells,
4571	4575	GO:0005623	cell		cell
4969	4979	GO:0007565	female		pregnancy
5176	5192	GO:0004198	calcium-dependent	cysteine-type
5236	5245	GO:0009058	biosynthetic	process
5264	5272	GO:0008091	spectrin	spectrin
5273	5282	GO:0009056	catabolic	process
5379	5394	GO:0005925	focal		adhesion
5753	5770	GO:0004198	calcium-dependent	cysteine-type
6108	6112	GO:0050817	coagulation	clot
6171	6184	GO:0009793	embryo		development
6171	6184	GO:0009792	embryo		development
6171	6184	GO:0009790	embryo		development
6257	6268	GO:0032502	developmental	process
6426	6440	GO:0009793	embryo		development
6426	6440	GO:0009792	embryo		development
6426	6440	GO:0009790	embryo		development
130	144	GO:0009793	embryo		development
130	144	GO:0009792	embryo		development
130	144	GO:0009790	embryo		development
231	236	GO:0005623	cell		cells
288	298	GO:0007565	female		pregnancy
407	421	GO:0009793	embryo		development
407	421	GO:0009792	embryo		development
407	421	GO:0009790	embryo		development
482	486	GO:0005623	cell		cell
522	526	GO:0005623	cell		cell
921	925	GO:0004239	obsolete	methionyl
1263	1269	GO:0005623	cell		cells,
1557	1561	GO:0005623	cell	cell
1622	1626	GO:0005623	cell	cell
1722	1731	GO:0016020	membrane	Membranes
1795	1800	GO:0005623	cell	cells
2028	2034	GO:0005623	cell	cells,
2113	2117	GO:0005623	cell	cell
2747	2753	GO:0005623	cell	cells,
2780	2786	GO:0023052	signaling	signal
3052	3056	GO:0005623	cell	cell
3255	3268	GO:0000003	reproduction	reproduction,
3550	3562	GO:0032502	developmental	process
3873	3878	GO:0016265	death	dying
4599	4606	GO:0003675	obsolete	protein
6114	6119	GO:0007618	mating	mated
6114	6119	GO:1990277	parasexual	conjugation
6114	6119	GO:0000747	conjugation	with
6114	6119	GO:0009291	unidirectional	conjugation
6136	6149	GO:0009566	fertilization	fertilization
6295	6305	GO:0004196	obsolete	saccharopepsin
6295	6305	GO:0004175	endopeptidase	activity
326	333	GO:0023052	signaling	signal.
512	519	GO:0023052	signaling	signal.
2174	2179	GO:0005623	cell	cells
2192	2197	GO:0005623	cell	cells
2307	2312	GO:0005623	cell	cells
2316	2332	GO:0035822	gene	conversion
2392	2397	GO:0005623	cell	cells
2450	2455	GO:0005623	cell	cells
2500	2505	GO:0005623	cell	cells
2598	2604	GO:0005623	cell	cells,
2735	2739	GO:0005623	cell	cell
2784	2788	GO:0005623	cell	cell
2817	2833	GO:0004198	calcium-dependent	cysteine-type
3494	3504	GO:0065007	biological	regulation
3658	3669	GO:0032502	developmental	process
3872	3884	GO:0032502	developmental	process
4214	4234	GO:0070527	platelet	aggregation
4239	4243	GO:0050817	coagulation	clot
