Start	End	Ontology	Ontology Term	Annotated Term
149	155	GO:0007601	visual		perception
284	299	GO:0010467	gene		expression
803	808	GO:0005623	cell		cells
959	963	GO:0005623	cell		cell
1299	1310	GO:0008152	metabolic	process
1759	1765	GO:0007601	visual		perception
1938	1942	GO:0005623	cell		cell
2119	2126	GO:0007601	visual		perception
2159	2166	GO:0007601	visual		perception
3005	3012	GO:0007601	visual		perception
3259	3275	GO:1990603	dark		adaptation
4189	4194	GO:0005623	cell		cells
4252	4258	GO:0005623	cell		cells.
4584	4593	GO:0009058	biosynthetic	process
4977	4986	GO:0009058	biosynthetic	process
5049	5064	GO:1990603	dark		adaptation
5263	5268	GO:0005623	cell		cells
5691	5696	GO:0005623	cell		cells
5831	5836	GO:0005623	cell		cells
5924	5928	GO:0005623	cell		cell
1012	1029	GO:0007602	phototransduction	phototransduction
1045	1052	GO:0007602	phototransduction	opsins,
1045	1052	GO:0015053	obsolete	opsin
1045	1052	GO:0016918	retinal		binding
1045	1052	GO:0009881	photoreceptor	activity
1045	1052	GO:0046876	3,4-didehydroretinal	binding
1070	1087	GO:0008081	phosphoric	diester
1738	1753	GO:0010467	gene		expression
2667	2682	GO:0010467	gene		expression
2719	2734	GO:0010467	gene		expression
2987	3003	GO:0010467	gene		expression
3032	3037	GO:0005623	cell		cells
3245	3250	GO:0005623	cell		cells
3364	3369	GO:0005623	cell		cells
3477	3482	GO:0005623	cell		cells
3596	3601	GO:0005623	cell		cells
3679	3690	GO:0044297	cell		body
3746	3751	GO:0005623	cell		cells
3801	3805	GO:0005623	cell		cell
3841	3845	GO:0005623	cell		cell
3911	3916	GO:0007602	phototransduction	opsin
3911	3916	GO:0015053	obsolete	opsin
3911	3916	GO:0016918	retinal		binding
3911	3916	GO:0009881	photoreceptor	activity
3911	3916	GO:0046876	3,4-didehydroretinal	binding
4074	4079	GO:0005623	cell		cells
4136	4143	GO:0005623	cell		cells).
4227	4232	GO:0005623	cell		cells
4301	4306	GO:0005623	cell		cells
4334	4341	GO:0005623	cell		cells),
4432	4437	GO:0005623	cell		cells
4481	4489	GO:0003823	antigen		binding
4481	4489	GO:0019815	B		cell
4481	4489	GO:0042571	immunoglobulin	complex,
4766	4771	GO:0005623	cell		cells
5003	5008	GO:0005623	cell		cells
5128	5133	GO:0005623	cell		cells
5177	5185	GO:0003823	antigen		binding
5177	5185	GO:0019815	B		cell
5177	5185	GO:0042571	immunoglobulin	complex,
5327	5355	GO:0001750	photoreceptor	outer
5436	5441	GO:0005623	cell		cells
6147	6152	GO:0005623	cell		cells
6365	6377	GO:0051179	localization	localization
6406	6433	GO:0001917	photoreceptor	inner
6463	6475	GO:0051179	localization	localization
6531	6535	GO:0031672	A		band
6672	6684	GO:0051179	localization	localization
7003	7015	GO:0051179	localization	localization
488	494	GO:0023052	signaling	signal
524	536	GO:0051179	localization	localization
800	818	GO:0006006	glucose		metabolic
836	857	GO:0006631	fatty		acid
868	878	GO:0006281	DNA		repair
888	892	GO:0005623	cell		cell
1025	1042	GO:0032475	otolith		formation
1218	1233	GO:0010467	gene		expression
1815	1821	GO:0023052	signaling	signal
3289	3300	GO:0044297	cell		body
3325	3330	GO:0005623	cell		cells
3548	3559	GO:0044297	cell		body
3693	3704	GO:0044297	cell		body
