Start	End	Ontology	Ontology Term	Annotated Term
0	14	GO:0007416	synapse		assembly
33	42	GO:0009058	biosynthetic	process
249	260	GO:0032502	developmental	process
318	329	GO:0032502	developmental	process
743	756	GO:0009653	anatomical	structure
848	865	GO:0007602	phototransduction	phototransduction
1028	1042	GO:0007416	synapse		assembly
1155	1180	GO:0008594	photoreceptor	cell
1295	1301	GO:0007601	visual		perception
1696	1714	GO:0007602	phototransduction	phototransduction.
1732	1743	GO:0032502	developmental	process
1893	1918	GO:0008594	photoreceptor	cell
2078	2089	GO:0032502	developmental	process
2111	2115	GO:0007568	aging		ages
2127	2142	GO:0010467	gene		expression
3057	3063	GO:0007601	visual		perception
3578	3585	GO:0003675	obsolete	protein
4346	4371	GO:0008594	photoreceptor	cell
4580	4585	GO:0097683	dinoflagellate	apex
4648	4656	GO:0003675	obsolete	protein
4673	4690	GO:0007602	phototransduction	phototransduction
4764	4772	GO:0003675	obsolete	protein
4773	4783	GO:0045102	obsolete	peripherin
4773	4783	GO:0045098	type	III
4971	4976	GO:0005623	cell		cells
4986	4999	GO:0044317	rod		spherule
5026	5033	GO:0007129	synapsis	synapse
5026	5033	GO:0045202	synapse		synapse
5051	5060	GO:0030425	dendrite	dendrites
5106	5113	GO:0007129	synapsis	synapse
5106	5113	GO:0045202	synapse		synapse
5152	5158	GO:0048788	cytoskeleton	of
5178	5188	GO:0005737	cytoplasm	cytoplasm.
5189	5202	GO:0044316	cone		cell
5221	5229	GO:0007129	synapsis	synapses
5221	5229	GO:0045202	synapse		synapses
5239	5248	GO:0030425	dendrite	dendrites
5268	5273	GO:0005623	cell		cells
5324	5333	GO:0030425	dendrite	dendrites
5354	5360	GO:0005623	cell		cells.
5388	5397	GO:0009058	biosynthetic	process
5419	5427	GO:0007129	synapsis	synapses
5419	5427	GO:0045202	synapse		synapses
5488	5496	GO:0003675	obsolete	protein
5551	5566	GO:0006351	transcription,	DNA-templated
5567	5577	GO:0065007	biological	regulation
54	61	GO:0007129	synapsis	synapse
54	61	GO:0045202	synapse		synapse
62	72	GO:0009058	biosynthetic	process
424	433	GO:0009058	biosynthetic	process
474	479	GO:0005623	cell		cells
574	589	GO:0007416	synapse		assembly
659	666	GO:0007129	synapsis	synapse
659	666	GO:0045202	synapse		synapse
667	676	GO:0009058	biosynthetic	process
1006	1034	GO:0042461	photoreceptor	cell
1594	1606	GO:0005739	mitochondrion	mitochondria
1682	1687	GO:0019835	cytolysis	lysis
1725	1733	GO:0005773	vacuole		vacuoles
1994	2001	GO:0005634	nucleus		nuclei.
2183	2195	GO:0005739	mitochondrion	mitochondria
2335	2363	GO:0001917	photoreceptor	inner
2421	2427	GO:0005929	cilium	cilium
2480	2491	GO:0005874	microtubule	microtubule
2711	2722	GO:0005874	microtubule	microtubule
2775	2781	GO:0005929	cilium		cilium
2996	3006	GO:0009058	biosynthetic	process
3007	3019	GO:0042384	cilium		assembly
3384	3396	GO:0042384	cilium		assembly
3550	3556	GO:0005929	cilium		cilium
3619	3625	GO:0005929	cilium		cilium
3632	3638	GO:0005929	cilium		cilium
3675	3687	GO:0005634	nucleus		cell nucleus
3829	3837	GO:0031982	vesicle		vesicles
3977	3983	GO:0005929	cilium		cilium
4080	4091	GO:0005874	microtubule	microtubule
4174	4182	GO:0031982	vesicle		vesicles
4639	4645	GO:0005634	nucleus		nuclei
4716	4722	GO:0005634	nucleus		nuclei
4792	4807	GO:0000792	heterochromatin	heterochromatin
5009	5017	GO:0031982	vesicle		vesicles
5185	5192	GO:0007114	cell		budding
5274	5287	GO:0009653	anatomical	structure
5442	5471	GO:0001917	photoreceptor	inner
5612	5618	GO:0005929	cilium		cilium
6014	6018	GO:0097683	dinoflagellate	apex
6276	6282	GO:0005929	cilium		cilium
6787	6792	GO:0031672	A	band
6787	6792	GO:0031264	death-inducing	signaling
6804	6810	GO:0031672	A	band
6804	6810	GO:0031264	death-inducing	signaling
6877	6886	GO:0009058	biosynthetic	process
6930	6941	GO:0032502	developmental	process
7014	7024	GO:0009058	biosynthetic	process
23	36	GO:0009653	anatomical	structure
719	725	GO:0005929	cilium	cilium
1441	1451	GO:0045102	obsolete	peripherin
1441	1451	GO:0045098	type		III
2067	2074	GO:0005929	cilium		cilium.
2138	2147	GO:0009058	biosynthetic	process
2299	2308	GO:0009058	biosynthetic	process
2317	2330	GO:0044317	rod		spherule
2454	2462	GO:0007129	synapsis	synapses
2454	2462	GO:0045202	synapse	synapses
2534	2547	GO:0044317	rod	spherule
2639	2645	GO:0048788	cytoskeleton	of
2684	2691	GO:0007129	synapsis	synapse
2684	2691	GO:0045202	synapse	synapse
2879	2888	GO:0030425	dendrite	dendrites
3002	3010	GO:0044326	dendritic	spine
3042	3050	GO:0007129	synapsis	synapses
3042	3050	GO:0045202	synapse	synapses
3102	3117	GO:0042995	cell	projection
3123	3130	GO:0044326	dendritic	spine
3149	3157	GO:0048788	cytoskeleton	of
3381	3398	GO:0008021	synaptic	vesicle
3483	3490	GO:0007129	synapsis	synapse
3483	3490	GO:0045202	synapse	synapse
3538	3546	GO:0044326	dendritic	spine
3623	3630	GO:0048788	cytoskeleton	of
3673	3688	GO:0005886	plasma	membrane
3877	3890	GO:0044317	rod	spherule
4006	4013	GO:0007129	synapsis	synapse
4006	4013	GO:0045202	synapse	synapse
4023	4029	GO:0048788	cytoskeleton	of
4071	4079	GO:0044326	dendritic	spine
4111	4119	GO:0007129	synapsis	synapses
